"clave","idioma","texto_mac","texto_windows","clave_windows_usada","veredicto","motivo"
"storage-section-title","ja","音楽の保存方法","音楽の保存方法","storage-section-title","igual",""
"storage-section-title","de","Wie deine Musik gespeichert wird","Wie deine Musik gespeichert wird","storage-section-title","igual",""
"storage-section-title","ru","Как хранить вашу музыку","Как хранить вашу музыку","storage-section-title","igual",""
"storage-section-title","fr","Comment stocker votre musique","Comment stocker votre musique","storage-section-title","igual",""
"storage-copy-explainer","ja","Aura ライブラリにコピー: Aura がファイルを管理し、タグを編集し、そのまま同期します。ディスク容量を使います（コピーが 1 つ）。元のファイルはあとで削除できます。","Aura のライブラリにコピー：Aura がファイルを管理し、タグを編集し、そのまま同期します。ディスク容量を使います（コピー1つ分）。元のファイルは後で削除できます。","storage-copy-explainer","distinto-manda-Mac",""
"storage-copy-explainer","de","In die Aura-Mediathek kopieren: Aura verwaltet die Dateien, bearbeitet ihre Tags und synchronisiert sie direkt; das braucht Speicherplatz (eine Kopie); deine Originale kannst du danach löschen.","In die Aura-Mediathek kopieren: Aura verwaltet die Dateien, bearbeitet ihre Tags und synchronisiert sie direkt; das braucht Speicherplatz (eine Kopie); deine Originale kannst du danach löschen.","storage-copy-explainer","igual",""
"storage-copy-explainer","ru","Копировать в медиатеку Aura: Aura управляет файлами, правит их теги и синхронизирует напрямую; это занимает место на диске (одна копия); свои оригиналы потом можно удалить.","Копировать в медиатеку Aura: Aura управляет файлами, правит их теги и синхронизирует напрямую; занимает место на диске (одна копия); свои оригиналы вы можете удалить потом.","storage-copy-explainer","distinto-manda-Mac",""
"storage-copy-explainer","fr","Copier dans la bibliothèque Aura : Aura gère les fichiers, modifie leurs tags et les synchronise directement ; cela occupe de l’espace disque (une copie) ; vous pouvez supprimer vos originaux ensuite.","Copier dans la bibliothèque Aura : Aura gère les fichiers, modifie leurs étiquettes et les synchronise directement ; cela occupe de l'espace disque (une copie) ; vous pouvez supprimer vos originaux ensuite.","storage-copy-explainer","distinto-manda-Mac",""
"storage-reference-explainer","ja","その場所のまま参照: 追加の容量を使わず、あなたのファイルにも触れません。Aura は準備済みのバージョンを別に保持し（.preparados/）、編集内容は Aura と iPod の中だけに存在します。元のディスクがない場合、それらの曲は同期できません。","その場を参照：追加の容量を使わず、ファイルにも触れません。Aura は準備済みのバージョンを別に持ちます（.preparados/）。編集内容は Aura と iPod の中だけに存在し、元のディスクがないとその曲は同期できません。","storage-reference-explainer","distinto-manda-Mac",""
"storage-reference-explainer","de","An Ort und Stelle referenzieren: kein zusätzlicher Speicherplatz, und deine Dateien werden nie angerührt; Aura hält eine vorbereitete Fassung separat (.preparados/), Änderungen leben nur in Aura und auf dem iPod, und wenn die ursprüngliche Festplatte fehlt, lassen sich diese Titel nicht synchronisieren.","Am Ort belassen und darauf verweisen: kein zusätzlicher Speicherplatz, deine Dateien werden nie angetastet; Aura hält eine vorbereitete Fassung daneben (.preparados/), Änderungen leben nur in Aura und auf dem iPod, und wenn der ursprüngliche Datenträger fehlt, lassen sich diese Titel nicht synchronisieren.","storage-reference-explainer","distinto-manda-Mac",""
