clave,tipo,archivo,linea,texto_original,texto_con_marcadores,tiene_interpolacion,nota
album-cover-picker.cancelar,ContentDialog,studio/windows/AuraStudio.App/Views/AlbumCoverPicker.cs,42,Cancelar,Cancelar,no,
album-cover-picker.cancelar-resto,ContentDialog,studio/windows/AuraStudio.App/Views/AlbumCoverPicker.cs,124,Cancelar el resto,Cancelar el resto,no,
album-cover-picker.omitir-este-album,ContentDialog,studio/windows/AuraStudio.App/Views/AlbumCoverPicker.cs,123,Omitir este álbum,Omitir este álbum,no,
album-cover-picker.usar-esta,ContentDialog,studio/windows/AuraStudio.App/Views/AlbumCoverPicker.cs,63,Usar esta,Usar esta,no,
album-cover-picker.usar-esta-2,ContentDialog,studio/windows/AuraStudio.App/Views/AlbumCoverPicker.cs,122,Usar esta,Usar esta,no,
album-cover-picker.usar-recomendada,ContentDialog,studio/windows/AuraStudio.App/Views/AlbumCoverPicker.cs,64,Usar recomendada,Usar recomendada,no,
app-strings.action-eject,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,248,Expulsar,Expulsar,no,
app-strings.action-open-in-explorer,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,247,Abrir en el Explorador,Abrir en el Explorador,no,
app-strings.action-refresh,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,244,Actualizar,Actualizar,no,
app-strings.action-refresh-help,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,246,Vuelve a leer el estado del iPod y de tu biblioteca. No copia ni borra nada.,Vuelve a leer el estado del iPod y de tu biblioteca. No copia ni borra nada.,no,
app-strings.app-name,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,37,Aura Studio,Aura Studio,no,
app-strings.bootloader-update-awaiting-reboot,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,550,Arranque enviado. Esperando a que el iPod confirme y reinicie…,Arranque enviado. Esperando a que el iPod confirme y reinicie…,no,
app-strings.bootloader-update-continue,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,530,Continuar,Continuar,no,
app-strings.bootloader-update-done-detail,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,555,Tu música y tus ajustes siguen intactos. La próxima vez que enciendas el iPod vas a ver la pantalla de arranque nueva.,Tu música y tus ajustes siguen intactos. La próxima vez que enciendas el iPod vas a ver la pantalla de arranque nueva.,no,
app-strings.bootloader-update-done-title,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,552,Listo: el arranque quedó actualizado,Listo: el arranque quedó actualizado,no,
app-strings.bootloader-update-enter-dfu-when,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,533,El iPod tiene que estar conectado por USB mientras lo haces. No se toca su disco: solo se regraba el arranque.,El iPod tiene que estar conectado por USB mientras lo haces. No se toca su disco: solo se regraba el arranque.,no,
app-strings.bootloader-update-flash-confirm,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,537,Entiendo que esto regraba el arranque del iPod. No borra su disco ni quita el arranque de Apple.,Entiendo que esto regraba el arranque del iPod. No borra su disco ni quita el arranque de Apple.,no,
app-strings.bootloader-update-flashing-1,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,546,Actualizando el arranque del iPod…,Actualizando el arranque del iPod…,no,
app-strings.bootloader-update-flashing-2,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,547,Actualizando el arranque de {family}…,Actualizando el arranque de {0}…,sí,
app-strings.bootloader-update-no-password,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,528,No te pide tu contraseña de administrador ni una sola vez.,No te pide tu contraseña de administrador ni una sola vez.,no,
app-strings.bootloader-update-not-required,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,524,No es obligatorio. El firmware nuevo funciona igual con el arranque que ya tienes; lo único que cambia es la pantalla de encendido.,No es obligatorio. El firmware nuevo funciona igual con el arranque que ya tienes; lo único que cambia es la pantalla de encendido.,no,
app-strings.bootloader-update-nothing-touched,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,520,"No se toca nada del disco. Tu música, tus fotos, tus listas y tus ajustes se quedan exactamente como están.","No se toca nada del disco. Tu música, tus fotos, tus listas y tus ajustes se quedan exactamente como están.",no,
app-strings.bootloader-update-offer,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,501,Actualizar el arranque de este iPod,Actualizar el arranque de este iPod,no,
app-strings.bootloader-update-offer-different,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,504,Esta versión trae un arranque más nuevo que el que tiene tu iPod.,Esta versión trae un arranque más nuevo que el que tiene tu iPod.,no,
app-strings.bootloader-update-offer-unknown,AppStrings,studio/windows/AuraStudio.App/Resources/AppStrings.cs,507,"No sabemos qué arranque tiene tu iPod: lo instaló otra computadora, o una versión anterior de la app.","No sabemos qué arranque tiene tu iPod: lo instaló otra computadora, o una versión anterior de la app.",no,
