id,ru,retro_es,nota
c001,Загрузчик отправлен. Ожидание подтверждения и перезапуска iPod…,Bootloader enviado. Esperando la confirmación y el reinicio del iPod…,
c002,Продолжить,Continuar,
c003,Ваша музыка и ваши настройки не тронуты. При следующем включении iPod вы увидите новый экран запуска.,"Su música y sus ajustes no están tocados. Al encender el iPod la próxima vez, verá la nueva pantalla de inicio.",
c004,Готово: загрузчик обновлён,Listo: el bootloader está actualizado,
c005,iPod должен оставаться подключённым по USB всё это время. Его диск не затрагивается: перезаписывается только загрузчик.,El iPod debe permanecer conectado por USB todo este tiempo. Su disco no se toca: solo se reescribe el bootloader.,
c006,"Я понимаю, что это перезапишет загрузчик iPod. Это не стирает его диск и не удаляет загрузчик Apple.",Entiendo que esto reescribirá el bootloader del iPod. Esto no borra su disco ni elimina el bootloader de Apple.,
c007,Обновление загрузчика iPod…,Actualizando el bootloader del iPod…,
c008,Обновление загрузчика {0}…,Actualizando el bootloader de {0}…,
c009,Пароль администратора не запрашивается ни разу.,La contraseña de administrador no se pide ni una sola vez.,
c010,"Это не обязательно. Новая прошивка так же работает с тем загрузчиком, который у вас уже есть; меняется только экран запуска.","No es obligatorio. El firmware nuevo funciona igual con el bootloader que ya tiene; solo cambia la pantalla de inicio.",
c011,"На диске ничего не затрагивается. Ваша музыка, ваши фото, ваши плейлисты и ваши настройки остаются ровно такими, какие есть.","En el disco no se toca nada. Su música, sus fotos, sus listas de reproducción y sus ajustes quedan exactamente como están.",
c012,Обновить загрузчик этого iPod,Actualizar el bootloader de este iPod,
c013,"В этой версии загрузчик новее, чем на вашем iPod.",En esta versión el bootloader es más nuevo que el de su iPod.,
c014,"Мы не знаем, какой загрузчик стоит на вашем iPod: его установил другой компьютер или более ранняя версия приложения.","No sabemos qué bootloader tiene su iPod: lo instaló otra computadora o una versión anterior de la aplicación.",
c015,Обновить загрузчик,Actualizar el bootloader,
