id,ru
d001,iPod всё ещё в режиме DFU…
d002,mks5lboot.exe не найден рядом с Aura Studio.
d003,Не удалось запустить mks5lboot.exe.
d004,Ожидание перехода iPod в режим DFU…
d005,"Контрольная сумма {0} не совпадает (ожидалась {1}, получена {2}): файл повреждён или это не тот файл, который опубликован в Release."
d006,"Контрольная сумма {0} не совпадает с указанной в Release (ожидалась {1}, получена {2}): файл повреждён или это не тот файл, который опубликован в Release."
d007,В checksums.txt есть неверная строка.
d008,В checksums.txt есть небезопасный путь.
d009,Нет {0}: загрузчик записать нельзя.
d010,Нет {0}: файлы прошивки не с чем сверить.
d011,Нет {0} (и в {1} тоже): без этого инструмента загрузчик записать нельзя.
d012,"{0} не описывает {1}, поэтому сверить его не с чем."
d013,"{0} не совпадает с хешем, закреплённым в {1} (ожидался {2}, получен {3}): файл изменился, доверять ему нельзя."
d014,rockbox.zip неполный (не хватает кодеков или плагинов): {0}.
d015,rockbox.zip не является допустимым файлом.
d016,В rockbox.zip есть небезопасный путь.
d017,Вы отменили запрос прав администратора. Без них этот шаг продолжить нельзя.
d018,"iPod снова появился с исходной прошивкой Apple на USB: загрузчик не записался. Повторите шаг DFU (диск уже подготовлен, форматировать его заново не нужно)."
d019,Файл {0} не прошёл проверку целостности.
d020,"iPod отключился во время копирования файлов. Полная прошивка — это тысячи мелких файлов, и по USB это может занять несколько минут. Проверьте кабель (не используйте USB-концентратор, если он подключён) и повторите: скопированное не пропадает, копирование продолжится с того же места."
d021,Подключённый iPod не обнаружен.
d022,"iPod получил прошивку, но так и не подтвердил, что применил её, — он всё ещё в режиме DFU. Если Windows открыла iTunes или Устройства Apple и показывает iPod в режиме восстановления, закройте это окно, НЕ нажимая «Восстановить» (это переустановит исходную прошивку Apple). Потом повторите: iPod уже в режиме DFU, так что попытка быстро дойдёт до этого же шага."
d023,"У Windows нет драйвера для вашего iPod в режиме DFU, поэтому Aura Studio не может с ним общаться. Установите Устройства Apple (или iTunes) из Microsoft Store либо назначьте устройству драйвер WinUSB с помощью Zadig; шаг с разрешениями объясняет оба варианта."
d024,iPod в режиме DFU не обнаружен вовремя. Повторите комбинацию кнопок.
d025,"Найден {0} диск, который может быть вашим iPod. В целях безопасности Aura Studio не выбирает сам — отключите остальные внешние диски и повторите."
d026.few,"Найдено {0} диска, которые могут быть вашим iPod. В целях безопасности Aura Studio не выбирает сам — отключите остальные внешние диски и повторите."
d026.many,"Найдено {0} дисков, которые могут быть вашим iPod. В целях безопасности Aura Studio не выбирает сам — отключите остальные внешние диски и повторите."
d027,"Для двойной загрузки iPod должен сохранить исходную прошивку Apple в формате ""winpod"": таблицу разделов MBR с нетронутым разделом прошивки Apple плюс раздел FAT32 — формат, который создаёт iTunes при восстановлении на ПК с Windows. Этот iPod в формате Mac (разделы Apple/HFS, которые Rockbox не читает) или его диск не читается, и подготовка отсюда стёрла бы диск целиком, вместе с исходной прошивкой. Варианты: восстановите iPod через iTunes/Устройства Apple и повторите двойную загрузку, либо установите только прошивку, если сохранять прошивку Apple не нужно."
d028,"Прошивка в этом Release неполная: в rockbox.zip не хватает {0} — iPod остался бы без видео или без звука. Дело не в вашем подключении; повторите позже или сообщите, что этот Release выпущен с ошибкой."
d029,Среди файлов прошивки нет артефакта {0}. Запустите scripts\FirmwareFetch.ps1 ещё раз.
d030,Операция завершилась с кодом {0}: {1}
d031,"Не удалось скачать последнюю версию {0}: {1} Будет использована версия, входящая в Aura Studio."
d032,"В Release {0} нет {1}, поэтому установить из него нельзя. Будет использована версия, входящая в Aura Studio."
d033,"iPod не отформатирован в FAT32. Преобразуйте его, прежде чем продолжать."
d034,Вы отменили авторизацию. Без этого разрешения шаг продолжить нельзя.
d035,Номер диска {0} вне допустимого диапазона.
d036,"Проверка завершена: диск проверен ещё раз, план форматирования верный. Ничего не записано."
d037,Метка тома осталась пустой.
d038,iPod отформатирован в FAT32.
d039,"В запросе нет ожидаемого размера диска, поэтому перепроверить его нельзя."
d040,Допуск по размеру не может быть отрицательным.
d041,"Операция с правами администратора завершилась, не оставив результата. Узнать, успела ли она что-то сделать, нельзя, поэтому продолжения не будет."
d042,Не удалось запросить права администратора: {0}
d043,Не удалось прочитать запрос.
d044,Не удалось прочитать результат операции.
d045,"Не удалось подготовить автоматическое возобновление, поэтому ни одна служба не остановлена."
d046,Служба Apple уже была запущена.
d047,Служба Apple уже была остановлена.
d048,Службу Apple нельзя остановить.
d049,"На этом компьютере нет службы Apple, которую нужно приостанавливать."
d050,Служба Apple снова запущена.
d051,Служба Apple остановлена на время записи.
d052,Служба Apple не ответила вовремя.
d053,Неизвестная операция с повышенными правами.
