id,de
c001,"Bootloader gesendet. Warten darauf, dass der iPod bestätigt und neu startet…"
c002,Weiter
c003,"Deine Musik und deine Einstellungen bleiben unangetastet. Wenn du den iPod das nächste Mal einschaltest, siehst du den neuen Startbildschirm."
c004,Fertig: der Bootloader ist aktuell
c005,Der iPod muss dabei über USB angeschlossen bleiben. Sein Datenträger wird nicht angetastet: nur der Bootloader wird neu geschrieben.
c006,"Mir ist klar, dass dies den Bootloader des iPod neu schreibt. Der Datenträger wird nicht gelöscht und Apples Bootloader nicht entfernt."
c007,Bootloader des iPod wird aktualisiert…
c008,Bootloader für {0} wird aktualisiert…
c009,Nach deinem Administratorkennwort wird kein einziges Mal gefragt.
c010,"Das ist nicht nötig. Die neue Firmware funktioniert genauso mit dem Bootloader, den du schon hast; es ändert sich nur der Startbildschirm."
c011,"Auf dem Datenträger wird nichts angetastet. Deine Musik, deine Fotos, deine Wiedergabelisten und deine Einstellungen bleiben genau so, wie sie sind."
c012,Bootloader dieses iPod aktualisieren
c013,Diese Version bringt einen neueren Bootloader mit als den auf deinem iPod.
c014,"Wir wissen nicht, welchen Bootloader dein iPod hat: ein anderer Computer hat ihn installiert, oder eine frühere Version der App."
c015,Bootloader aktualisieren
c016,"Der Bootloader ist das Programm, das vor der Firmware läuft, auf einem Chip getrennt vom Datenträger. Diese Version bringt einen neuen mit, mit einem anderen Startbildschirm."
c017,"Der DFU-Modus ist nötig, weil dieser Chip auf keine andere Weise beschrieben werden kann."
c018,{0} Datei ({1}) wandert in den Papierkorb.
c019,{0} Dateien ({1}) wandern in den Papierkorb.
c020,{0} Element wird aus deiner Mediathek entfernt; seine Originaldatei wird nicht angetastet.
c021,{0} Elemente werden aus deiner Mediathek entfernt; ihre Originaldateien werden nicht angetastet.
c022,{0} Element löschen?
c023,{0} Elemente löschen?
c024,Treiber für den DFU-Modus
c025,Apples Treiber ist installiert. Es ist noch kein iPod im DFU-Modus zu sehen.
c026,"Windows sieht den iPod, hat aber keinen Treiber dafür. Installiere „Apple-Geräte“ aus dem Microsoft Store (oder Apples iTunes) und schließe ihn erneut an: Aura Studio braucht diesen Treiber, um im DFU-Modus mit dem iPod zu sprechen."
c027,"Apples Gerätetreiber wurde nicht gefunden. Installiere „Apple-Geräte“ aus dem Microsoft Store (oder iTunes), bevor du fortfährst: ohne ihn kann Windows im DFU-Modus nicht mit dem iPod sprechen."
c028,Windows erkennt „{0}“ und sein Treiber funktioniert.
c029,Der Zustand des Treibers konnte nicht abgefragt werden.
c030,"Es wird bereits auf den iPod geschrieben. Warte, bis das fertig ist, bevor du etwas anderes startest."
c031,"Die Firmware-Dateien konnten nicht überprüft werden, also wird nichts installiert."
c032,"Geschrieben. Warten darauf, dass der iPod neu startet und wieder erscheint…"
c033,Starten
c034,Vorgang abgebrochen.
c035,{0} Datei auf den iPod geschrieben.
c036,{0} Dateien auf den iPod geschrieben.
c037,Die Firmware konnte nicht auf den iPod kopiert werden.
c038,Firmware kopieren
c039,Firmware wird auf den iPod kopiert…
c040,"Sieh dir diese Angaben genau an. Was jetzt folgt, löscht den Inhalt des hier gezeigten Datenträgers."
c041,"Bestätige, dass das dein iPod ist"
c042,"Aura Studio hat ihn beim Anschließen erkannt. Möchtest du Firmware darauf installieren? Es passiert nichts, bis du dich entscheidest."
c043,Jetzt nicht
c044,"Ja, installieren"
c045,Dein iPod ist im DFU-Modus
c046,iPod im DFU-Modus erkannt.
c047,iPod im DFU-Modus erkannt (Zustand {0}).
c048,Anleitung zum Flashen und Wiederherstellen (Firmware-Repository)
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md
c050,Es steht keine Firmware zum Installieren bereit: der Artefakte-Ordner wurde nicht befüllt.
c051,"Es ist noch kein iPod im DFU-Modus zu sehen. Wiederhole die Tastenkombination und suche erneut. Denk daran, weiter zu drücken, nachdem der Bildschirm schwarz wird."
c052,"Apples Treiber ist installiert, aber Windows sieht kein Apple-Gerät. Wenn du die Tastenkombination schon gemacht hast und der Bildschirm des iPod schwarz ist, ist er wahrscheinlich im DFU-Modus und seine USB-Verbindung kommt hier nicht an. Prüfe auf einer virtuellen Maschine, ob der iPod im DFU-Modus an Windows durchgereicht wird: beim Wechsel in den DFU-Modus ändert sich seine USB-Kennung und du musst ihn eventuell erneut freigeben."
c053,"Wenn dein iPod gerade Musik abspielt, stoppe die Wiedergabe."
c054,Halte SELECT + MENU gleichzeitig gedrückt.
c055,"Halte beide Tasten etwa 12 Sekunden lang gedrückt, bis nach dem Schwarzwerden des Bildschirms."
c056,Lass los. Aura Studio erkennt den DFU-Modus automatisch.
c057,"Wenn du vor etwa 12 Sekunden loslässt, startet der iPod normal neu und geht NICHT in den DFU-Modus. Der schwarze Bildschirm ist nicht das Zeichen zum Loslassen: halte danach weiter gedrückt."
c058,"Der Zustand des iPod konnte nicht gelesen werden. Sieh unten nach, ob Apples Treiber fehlt."
c059,Warten auf den DFU-Modus…
