id,ru
c001,Загрузчик отправлен. Ожидание подтверждения и перезапуска iPod…
c002,Продолжить
c003,Ваша музыка и ваши настройки не тронуты. При следующем включении iPod вы увидите новый экран запуска.
c004,Готово: загрузчик обновлён
c005,iPod должен оставаться подключённым по USB всё это время. Его диск не затрагивается: перезаписывается только загрузчик.
c006,"Я понимаю, что это перезапишет загрузчик iPod. Это не стирает его диск и не удаляет загрузчик Apple."
c007,Обновление загрузчика iPod…
c008,Обновление загрузчика {0}…
c009,Пароль администратора не запрашивается ни разу.
c010,"Это не обязательно. Новая прошивка так же работает с тем загрузчиком, который у вас уже есть; меняется только экран запуска."
c011,"На диске ничего не затрагивается. Ваша музыка, ваши фото, ваши плейлисты и ваши настройки остаются ровно такими, какие есть."
c012,Обновить загрузчик этого iPod
c013,"В этой версии загрузчик новее, чем на вашем iPod."
c014,"Мы не знаем, какой загрузчик стоит на вашем iPod: его установил другой компьютер или более ранняя версия приложения."
c015,Обновить загрузчик
c016,"Загрузчик — это программа, которая работает до прошивки, на отдельной от диска микросхеме. В этой версии он новый, с другим экраном запуска."
c017,"Режим DFU нужен потому, что эту микросхему нельзя записать никак иначе."
c018,{0} файл ({1}) отправится в Корзину.
c019.few,{0} файла ({1}) отправятся в Корзину.
c019.many,{0} файлов ({1}) отправятся в Корзину.
c020,{0} элемент удаляется из вашей медиатеки; его исходный файл не затрагивается.
c021.few,{0} элемента удаляются из вашей медиатеки; их исходные файлы не затрагиваются.
c021.many,{0} элементов удаляются из вашей медиатеки; их исходные файлы не затрагиваются.
c022,Удалить {0} элемент?
c023.few,Удалить {0} элемента?
c023.many,Удалить {0} элементов?
c024,Драйвер для режима DFU
c025,Драйвер Apple установлен. iPod в режиме DFU пока не виден.
c026,"Windows видит iPod, но не имеет для него драйвера. Установите «Устройства Apple» из Microsoft Store (или iTunes от Apple) и подключите его заново: Aura Studio нужен этот драйвер, чтобы общаться с iPod в режиме DFU."
c027,"Драйвер устройств Apple не найден. Установите «Устройства Apple» из Microsoft Store (или iTunes), прежде чем продолжать: без него Windows не может общаться с iPod в режиме DFU."
c028,"Windows распознаёт «{0}», и его драйвер работает."
c029,Не удалось узнать состояние драйвера.
c030,"На iPod уже идёт запись. Дождитесь её окончания, прежде чем начинать другую операцию."
c031,"Файлы прошивки не удалось проверить, поэтому ничего не устанавливается."
c032,Записано. Ожидание перезапуска iPod и его повторного появления…
c033,Начать
c034,Операция отменена.
c035,{0} файл записан на iPod.
c036.few,{0} файла записано на iPod.
c036.many,{0} файлов записано на iPod.
c037,Не удалось скопировать прошивку на iPod.
c038,Скопировать прошивку
c039,Копирование прошивки на iPod…
c040,"Внимательно проверьте эти данные. То, что последует дальше, стирает содержимое показанного здесь диска."
c041,"Подтвердите, что это ваш iPod"
c042,"Aura Studio распознала его при подключении. Хотите установить на него прошивку? Ничего не произойдёт, пока вы не выберете."
c043,Не сейчас
c044,"Да, установить"
c045,Ваш iPod в режиме DFU
c046,iPod обнаружен в режиме DFU.
c047,iPod обнаружен в режиме DFU (состояние {0}).
c048,Руководство по прошивке и восстановлению (репозиторий прошивки)
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md
c050,"Нет прошивки, доступной для установки: папка артефактов не заполнена."
c051,"iPod в режиме DFU пока не виден. Повторите сочетание кнопок и выполните поиск снова. Не забывайте продолжать удерживать после того, как экран погаснет."
c052,"Драйвер Apple установлен, но Windows не видит ни одного устройства Apple. Если вы уже выполнили сочетание кнопок и экран iPod чёрный, он, скорее всего, в режиме DFU, а его USB-подключение сюда не доходит. На виртуальной машине проверьте, что iPod в режиме DFU перенаправлен в Windows: при переходе в DFU он меняет USB-идентификатор, и его может потребоваться разрешить заново."
c053,"Если ваш iPod играет музыку, остановите воспроизведение."
c054,Удерживайте SELECT + MENU одновременно.
c055,"Продолжайте удерживать обе кнопки около 12 секунд, до момента после того, как экран погаснет."
c056,Отпустите. Aura Studio определит режим DFU автоматически.
c057,"Если отпустить раньше примерно 12 секунд, iPod перезапустится обычным образом и НЕ войдёт в режим DFU. Погасший экран — не сигнал отпускать: продолжайте удерживать после этого."
c058,"Не удалось прочитать состояние iPod. Проверьте ниже, не отсутствует ли драйвер Apple."
c059,Ожидание режима DFU…
c060,"Прошивка установлена. Извлеките iPod из раздела Общее, прежде чем отключать его."
c061,Готово
c062,Проверить без записи
c063,Проверка завершена — диск не затронут
c064,"Проверка прошла хорошо: диск был повторно проверен с правами администратора, и план форматирования верен. Пока ничего не записано."
c065,Проверка подготовки диска…
c066,Теперь переведите iPod в режим DFU
c067,"Вот этот момент: диск готов, и дальше записывается загрузчик. iPod должен оставаться подключённым по USB всё это время."
c068,Не удалось продолжить
c069,"На этом iPod установлено {0}, а вы собираетесь установить {1}. {0} сохраняется целиком, со своими настройками, и вы можете вернуться к нему из раздела Дополнения когда захотите."
c070,Прошивка для установки
c071,Записать загрузчик
c072,"Я понимаю, что это заменяет исходный загрузчик Apple и что это нельзя отменить, не восстановив его."
c073,Не удалось записать загрузчик.
c074,"Не хватает вашего подтверждения перед записью загрузчика. Aura Studio ничего не записывает, пока вы не подтвердите."
c075,Запись загрузчика на iPod…
c076,"Я понимаю, что всё содержимое {0} будет стёрто."
c077,"Проверка выше ничего не затронула. То, что последует дальше, стирает всё содержимое диска, и это нельзя отменить. Убедитесь, что это нужный iPod, прежде чем продолжать."
c078,Вот этот шаг действительно стирает iPod
c079,"Не хватает вашего подтверждения перед стиранием iPod. Aura Studio ничего не форматирует, пока вы не подтвердите, с каким диском она будет работать."
c080,"Сначала нужно выполнить проверку подготовки диска. Она проверяет всё, ничего не записывая."
c081,Стереть и отформатировать {0}
c082,Форматирование диска iPod…
c083,"У iPod нет тома, который Windows может прочитать. Подготовьте диск, прежде чем копировать файлы."
c084,"Ни один iPod не подключён. Подключите его по USB и дождитесь, пока Windows его распознает."
c085,"Понятно, продолжить"
c086,"Чтобы подготовить диск iPod, Windows запросит у вас права администратора собственным окном. Aura Studio делает всё отсюда: вам никогда не придётся открывать консоль или набирать команду. Права запрашиваются только для двух конкретных вещей — отформатировать диск iPod и, во время записи загрузчика, приостановить службу Apple, которая может занять USB-порт. Каждое использование записывается в журнал приложения."
c087,Необходимые разрешения
c088,Подготовить диск
c089,Что сделала операция с повышенными правами
c090,iPod вышел из режима DFU. Теперь можно копировать прошивку.
c091,Начать заново
c092,"Aura Studio остановилась в целях безопасности, не тронув диск: {0}."
c093,Найти iPod в режиме DFU
c094,Поиск iPod в режиме DFU…
c095,"iPod всё ещё в режиме DFU, и установка не была подтверждена. Не отключайте его: выполните поиск снова."
c096,"Установите прошивку на ваш iPod, шаг за шагом"
c097,Установщик
c098,"Не удалось определить номер диска «{0}», поэтому ничего не затрагивается."
