id,fr
c001,Bootloader envoyé. En attente de la confirmation et du redémarrage de l'iPod…
c002,Continuer
c003,"Votre musique et vos réglages n'ont pas été touchés. À la prochaine mise en marche de l'iPod, vous verrez le nouvel écran de démarrage."
c004,Terminé : le bootloader est à jour
c005,L'iPod doit rester branché en USB pendant l'opération. Son disque n'est pas touché : seul le bootloader est réécrit.
c006,Je comprends que cela réécrit le bootloader de l'iPod. Cela n'efface pas son disque et ne retire pas le bootloader d'Apple.
c007,Mise à jour du bootloader de l'iPod…
c008,Mise à jour du bootloader de {0}…
c009,Votre mot de passe administrateur n'est demandé à aucun moment.
c010,Ce n'est pas obligatoire. Le nouveau micrologiciel fonctionne aussi bien avec le bootloader que vous avez déjà ; seul l'écran de démarrage change.
c011,"Rien n'est touché sur le disque. Votre musique, vos photos, vos listes de lecture et vos réglages restent exactement tels quels."
c012,Mettre à jour le bootloader de cet iPod
c013,Cette version apporte un bootloader plus récent que celui de votre iPod.
c014,"Nous ne savons pas quel bootloader se trouve sur votre iPod : un autre ordinateur l'a installé, ou une version antérieure de l'application."
c015,Mettre à jour le bootloader
c016,"Le bootloader est le programme qui s'exécute avant le micrologiciel, sur une puce distincte du disque. Cette version en apporte un nouveau, avec un autre écran de démarrage."
c017,Le mode DFU est nécessaire parce que cette puce ne peut être écrite d'aucune autre façon.
c018,{0} fichier ({1}) part à la Corbeille.
c019,{0} fichiers ({1}) partent à la Corbeille.
c020,{0} élément est retiré de votre bibliothèque ; son fichier d'origine n'est pas touché.
c021,{0} éléments sont retirés de votre bibliothèque ; leurs fichiers d'origine ne sont pas touchés.
c022,Supprimer {0} élément ?
c023,Supprimer {0} éléments ?
c024,Pilote pour le mode DFU
c025,Le pilote d'Apple est installé. Aucun iPod en mode DFU n'est encore visible.
c026,Windows voit l'iPod mais n'a pas de pilote pour lui. Installez « Appareils Apple » depuis le Microsoft Store (ou iTunes d'Apple) puis rebranchez-le : Aura Studio a besoin de ce pilote pour parler à l'iPod en mode DFU.
c027,"Le pilote d'appareils d'Apple est introuvable. Installez « Appareils Apple » depuis le Microsoft Store (ou iTunes) avant de continuer : sans lui, Windows ne peut pas parler à l'iPod en mode DFU."
c028,Windows reconnaît « {0} » et son pilote fonctionne.
c029,L'état du pilote n'a pas pu être vérifié.
c030,Une opération est déjà en train d'écrire sur l'iPod. Attendez qu'elle se termine avant d'en lancer une autre.
c031,"Les fichiers du micrologiciel n'ont pas pu être vérifiés, donc rien n'est installé."
c032,Écrit. En attente du redémarrage de l'iPod et de sa réapparition…
c033,Commencer
c034,Opération annulée.
c035,{0} fichier écrit sur l'iPod.
c036,{0} fichiers écrits sur l'iPod.
c037,Le micrologiciel n'a pas pu être copié sur l'iPod.
c038,Copier le micrologiciel
c039,Copie du micrologiciel sur l'iPod…
c040,Vérifiez ces informations avec attention. Ce qui suit efface le contenu du disque affiché ici.
c041,Confirmez qu'il s'agit bien de votre iPod
c042,Aura Studio l'a reconnu au branchement. Voulez-vous y installer un micrologiciel ? Rien ne se passe tant que vous n'avez pas choisi.
c043,Pas maintenant
c044,"Oui, installer"
c045,Votre iPod est en mode DFU
c046,iPod détecté en mode DFU.
c047,iPod détecté en mode DFU (état {0}).
c048,Guide de flashage et de restauration (dépôt du micrologiciel)
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md
c050,Aucun micrologiciel n'est disponible à installer : le dossier des artefacts n'a pas été rempli.
c051,Aucun iPod en mode DFU n'est encore visible. Refaites la combinaison de boutons et relancez la recherche. N'oubliez pas de continuer à appuyer après que l'écran devient noir.
