clave,motivo,texto es,texto ja,texto de,texto ru,texto fr
app-menu-commands.buscar-actualizaciones-aura-studio,compartida con Windows,Buscar actualizaciones de Aura Studio...,Aura Studio のアップデートを確認…,Nach Aura-Studio-Updates suchen …,Проверить обновления Aura Studio…,Rechercher les mises à jour d’Aura Studio…
app-update-bar.baja-aura-studio-no-se-actualiza,compartida con Windows,"Baja %@. Aura Studio no se actualiza sola: cuando termine, ábrelo y arrastra la app a Aplicaciones.",%@ をダウンロードします。Aura Studio は自動では更新されません。完了したら開いて、アプリを「アプリケーション」にドラッグしてください。,Lädt %@ herunter. Aura Studio aktualisiert sich nicht selbst: Öffne es nach dem Download und zieh die App in „Programme“.,"Загружает %@. Aura Studio не обновляется сама: когда загрузка закончится, откройте файл и перетащите приложение в «Программы».","Télécharge %@. Aura Studio ne se met pas à jour tout seul : une fois le téléchargement terminé, ouvrez-le et faites glisser l’app dans Applications."
app-update-bar.instalador-todavia-no-esta-publicado-ese,texto de riesgo,El instalador todavía no está publicado en ese Release.,そのリリースにはインストーラーがまだ公開されていません。,Das Installationsprogramm ist in diesem Release noch nicht veröffentlicht.,Установщик в этой версии ещё не опубликован.,Le programme d’installation n’est pas encore publié dans cette version.
artists-view.eliminar,compartida con Windows,Eliminar,削除,Löschen,Удалить,Supprimer
await-bootloader-u-s-b-view.arranque-grabado,acción de riesgo,Arranque grabado,ブートローダーを書き込みました,Bootloader geschrieben,Загрузчик записан,Bootloader écrit
await-bootloader-u-s-b-view.bootloader-aura-ya-esta-tu-ipod,acción de riesgo,El bootloader de Aura ya está en tu iPod. Ahora falta copiar Aura al disco.,Aura のブートローダーが iPod に入りました。次は Aura をディスクにコピーします。,Der Aura-Bootloader ist jetzt auf deinem iPod. Als Nächstes muss Aura auf die Festplatte kopiert werden.,Загрузчик Aura уже на вашем iPod. Осталось скопировать Aura на диск.,Le bootloader d’Aura est maintenant sur votre iPod. Il reste à copier Aura sur le disque.
await-bootloader-u-s-b-view.disco-detectado-copiando-aura,acción de riesgo,Disco detectado -- copiando Aura...,ディスクを検出しました — Aura をコピーしています…,Festplatte erkannt – Aura wird kopiert …,Диск обнаружен — копирование Aura…,Disque détecté — copie d’Aura…
await-bootloader-u-s-b-view.esperando-que-ipod-reaparezca-como-disco,acción de riesgo,Esperando a que el iPod reaparezca como disco...,iPod がディスクとして再び現れるのを待っています…,"Warten, bis der iPod wieder als Festplatte erscheint …","Ожидание, пока iPod снова появится как диск…",En attente que l’iPod réapparaisse comme disque…
await-bootloader-u-s-b-view.ipod-aparecio-con-firmware-apple-arranqu,acción de riesgo,El iPod apareció con el firmware de Apple -- el arranque no se grabó,iPod は Apple のファームウェアで戻ってきました — ブートローダーは書き込まれていません,Der iPod ist mit Apples Firmware zurückgekommen – der Bootloader wurde nicht geschrieben,iPod вернулся с прошивкой Apple — загрузчик не был записан,L’iPod est revenu avec le firmware d’Apple — le bootloader n’a pas été écrit
await-bootloader-u-s-b-view.ipod-sigue-dfu-reinicialo-con-select,acción de riesgo,El iPod sigue en DFU. Reinícialo con SELECT + MENU.,iPod はまだ DFU モードです。SELECT + MENU で再起動してください。,Der iPod ist noch im DFU-Modus. Starte ihn mit SELECT + MENU neu.,iPod всё ещё в режиме DFU. Перезапустите его сочетанием SELECT + MENU.,L’iPod est toujours en DFU. Redémarrez-le avec SELECT + MENU.
await-bootloader-u-s-b-view.texto,acción de riesgo,%@,%@,%@,%@,%@
background-task-center-indicator.cancelar,compartida con Windows,Cancelar,キャンセル,Abbrechen,Отменить,Annuler
content-view.sincronizar-con-ipod,texto de riesgo,Sincronizar con el iPod,iPod と同期,Mit dem iPod synchronisieren,Синхронизировать с iPod,Synchroniser avec l’iPod
content-view.vuelve-leer-estado-ipod-tu-biblioteca,texto de riesgo,Vuelve a leer el estado del iPod y de tu biblioteca. No copia ni borra nada.,iPod とライブラリの状態を読み直します。コピーも削除もしません。,Liest den Zustand deines iPods und deiner Mediathek neu ein. Es wird nichts kopiert oder gelöscht.,Заново считывает состояние вашего iPod и медиатеки. Ничего не копирует и не удаляет.,Relit l’état de votre iPod et de votre bibliothèque. Ne copie ni ne supprime rien.
cover-contamination-sheet.quitar-imagenes,texto de riesgo,Quitar de Imágenes,「画像」から取り除く,Aus „Bilder“ entfernen,Убрать из «Изображений»,Retirer d’Images
