id,de,retro_es,nota
c001,"Bootloader gesendet. Warten darauf, dass der iPod bestätigt und neu startet…","Bootloader enviado. Esperando a que el iPod confirme y reinicie…",
c002,Weiter,Continuar,"Ambiguo sin contexto: podría ser ""Siguiente"" en vez de ""Continuar"""
c003,"Deine Musik und deine Einstellungen bleiben unangetastet. Wenn du den iPod das nächste Mal einschaltest, siehst du den neuen Startbildschirm.","Tu música y tus ajustes quedan intactos. La próxima vez que enciendas el iPod, verás la nueva pantalla de inicio.",
c004,Fertig: der Bootloader ist aktuell,Listo: el bootloader está actualizado,
c005,Der iPod muss dabei über USB angeschlossen bleiben. Sein Datenträger wird nicht angetastet: nur der Bootloader wird neu geschrieben.,El iPod debe permanecer conectado por USB durante esto. Su disco no se toca: solo se reescribe el bootloader.,
c006,"Mir ist klar, dass dies den Bootloader des iPod neu schreibt. Der Datenträger wird nicht gelöscht und Apples Bootloader nicht entfernt.","Entiendo que esto reescribe el bootloader del iPod. El disco no se borra y no se elimina el bootloader de Apple.","""Mir ist klar"" (entiendo/soy consciente) sugiere una casilla de confirmación, no un aviso pasivo"
c007,Bootloader des iPod wird aktualisiert…,Actualizando el bootloader del iPod…,
c008,Bootloader für {0} wird aktualisiert…,Actualizando el bootloader para {0}…,
c009,Nach deinem Administratorkennwort wird kein einziges Mal gefragt.,No se te pedirá tu contraseña de administrador ni una sola vez.,"Énfasis fuerte en alemán (""ni una sola vez""); en español natural podría ser simplemente ""nunca se te pedirá tu contraseña de administrador"""
c010,"Das ist nicht nötig. Die neue Firmware funktioniert genauso mit dem Bootloader, den du schon hast; es ändert sich nur der Startbildschirm.","No es necesario. El firmware nuevo funciona igual con el bootloader que ya tienes; solo cambia la pantalla de inicio.",
c011,"Auf dem Datenträger wird nichts angetastet. Deine Musik, deine Fotos, deine Wiedergabelisten und deine Einstellungen bleiben genau so, wie sie sind.","No se toca nada en el disco. Tu música, tus fotos, tus listas de reproducción y tus ajustes quedan exactamente como están.",
c012,Bootloader dieses iPod aktualisieren,Actualizar el bootloader de este iPod,
c013,Diese Version bringt einen neueren Bootloader mit als den auf deinem iPod.,Esta versión trae un bootloader más nuevo que el que tiene tu iPod.,
c014,"Wir wissen nicht, welchen Bootloader dein iPod hat: ein anderer Computer hat ihn installiert, oder eine frühere Version der App.","No sabemos qué bootloader tiene tu iPod: lo instaló otra computadora, o una versión anterior de la app.",
c015,Bootloader aktualisieren,Actualizar bootloader,
c016,"Der Bootloader ist das Programm, das vor der Firmware läuft, auf einem Chip getrennt vom Datenträger. Diese Version bringt einen neuen mit, mit einem anderen Startbildschirm.","El bootloader es el programa que corre antes que el firmware, en un chip separado del disco. Esta versión trae uno nuevo, con una pantalla de inicio distinta.",
c017,"Der DFU-Modus ist nötig, weil dieser Chip auf keine andere Weise beschrieben werden kann.",El modo DFU es necesario porque ese chip no se puede escribir de ninguna otra manera.,
c018,{0} Datei ({1}) wandert in den Papierkorb.,{0} archivo ({1}) va a la Papelera.,
c019,{0} Dateien ({1}) wandern in den Papierkorb.,{0} archivos ({1}) van a la Papelera.,
c020,{0} Element wird aus deiner Mediathek entfernt; seine Originaldatei wird nicht angetastet.,{0} elemento se quita de tu biblioteca; su archivo original no se toca.,
c021,{0} Elemente werden aus deiner Mediathek entfernt; ihre Originaldateien werden nicht angetastet.,{0} elementos se quitan de tu biblioteca; sus archivos originales no se tocan.,
c022,{0} Element löschen?,¿Eliminar {0} elemento?,
c023,{0} Elemente löschen?,¿Eliminar {0} elementos?,
c024,Treiber für den DFU-Modus,Controlador para el modo DFU,
c025,Apples Treiber ist installiert. Es ist noch kein iPod im DFU-Modus zu sehen.,El controlador de Apple está instalado. Todavía no se ve ningún iPod en modo DFU.,
c026,"Windows sieht den iPod, hat aber keinen Treiber dafür. Installiere „Apple-Geräte“ aus dem Microsoft Store (oder Apples iTunes) und schließe ihn erneut an: Aura Studio braucht diesen Treiber, um im DFU-Modus mit dem iPod zu sprechen.","Windows ve el iPod, pero no tiene un controlador para él. Instala «Dispositivos Apple» desde Microsoft Store (o iTunes de Apple) y vuelve a conectarlo: Aura Studio necesita ese controlador para comunicarse con el iPod en modo DFU.",
c027,"Apples Gerätetreiber wurde nicht gefunden. Installiere „Apple-Geräte“ aus dem Microsoft Store (oder iTunes), bevor du fortfährst: ohne ihn kann Windows im DFU-Modus nicht mit dem iPod sprechen.","No se encontró el controlador de dispositivos de Apple. Instala «Dispositivos Apple» desde Microsoft Store (o iTunes) antes de continuar: sin él, Windows no puede comunicarse con el iPod en modo DFU.",
c028,"Windows erkennt „{0}“ und sein Treiber funktioniert.",Windows reconoce «{0}» y su controlador funciona.,
c029,Der Zustand des Treibers konnte nicht abgefragt werden.,No se pudo consultar el estado del controlador.,
c030,"Es wird bereits auf den iPod geschrieben. Warte, bis das fertig ist, bevor du etwas anderes startest.","Ya se está escribiendo en el iPod. Espera a que termine antes de iniciar otra cosa.",
c031,"Die Firmware-Dateien konnten nicht überprüft werden, also wird nichts installiert.","No se pudieron verificar los archivos de firmware, así que no se instala nada.",
c032,"Geschrieben. Warten darauf, dass der iPod neu startet und wieder erscheint…","Escrito. Esperando a que el iPod reinicie y vuelva a aparecer…",
c033,Starten,Iniciar,"Ambiguo sin contexto: podría ser ""Empezar"" o ""Arrancar"""
c034,Vorgang abgebrochen.,Operación cancelada.,
c035,{0} Datei auf den iPod geschrieben.,{0} archivo escrito en el iPod.,
c036,{0} Dateien auf den iPod geschrieben.,{0} archivos escritos en el iPod.,
c037,Die Firmware konnte nicht auf den iPod kopiert werden.,No se pudo copiar el firmware al iPod.,
c038,Firmware kopieren,Copiar firmware,
c039,Firmware wird auf den iPod kopiert…,Copiando el firmware al iPod…,
c040,"Sieh dir diese Angaben genau an. Was jetzt folgt, löscht den Inhalt des hier gezeigten Datenträgers.","Revisa bien estos datos. Lo que sigue borra el contenido del disco que se muestra aquí.",
c041,"Bestätige, dass das dein iPod ist",Confirma que este es tu iPod,
c042,"Aura Studio hat ihn beim Anschließen erkannt. Möchtest du Firmware darauf installieren? Es passiert nichts, bis du dich entscheidest.","Aura Studio lo reconoció al conectarlo. ¿Quieres instalarle firmware? No pasa nada hasta que decidas.",
c043,Jetzt nicht,Ahora no,
c044,"Ja, installieren","Sí, instalar",
c045,Dein iPod ist im DFU-Modus,Tu iPod está en modo DFU,
c046,iPod im DFU-Modus erkannt.,iPod en modo DFU detectado.,
c047,iPod im DFU-Modus erkannt (Zustand {0}).,iPod en modo DFU detectado (estado {0}).,
c048,Anleitung zum Flashen und Wiederherstellen (Firmware-Repository),Guía de flasheo y restauración (repositorio del firmware),
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md,"URL sin traducir; la propia ruta ya está en español, así que probablemente no cambia entre idiomas"
c050,Es steht keine Firmware zum Installieren bereit: der Artefakte-Ordner wurde nicht befüllt.,No hay firmware lista para instalar: la carpeta de artefactos no se llenó.,
c051,"Es ist noch kein iPod im DFU-Modus zu sehen. Wiederhole die Tastenkombination und suche erneut. Denk daran, weiter zu drücken, nachdem der Bildschirm schwarz wird.","Todavía no se ve ningún iPod en modo DFU. Repite la combinación de teclas y busca de nuevo. Recuerda seguir presionando después de que la pantalla se ponga negra.",
c052,"Apples Treiber ist installiert, aber Windows sieht kein Apple-Gerät. Wenn du die Tastenkombination schon gemacht hast und der Bildschirm des iPod schwarz ist, ist er wahrscheinlich im DFU-Modus und seine USB-Verbindung kommt hier nicht an. Prüfe auf einer virtuellen Maschine, ob der iPod im DFU-Modus an Windows durchgereicht wird: beim Wechsel in den DFU-Modus ändert sich seine USB-Kennung und du musst ihn eventuell erneut freigeben.","El controlador de Apple está instalado, pero Windows no ve ningún dispositivo Apple. Si ya hiciste la combinación de teclas y la pantalla del iPod está negra, probablemente esté en modo DFU y su conexión USB no está llegando aquí. En una máquina virtual, comprueba si el iPod en modo DFU se le está pasando a Windows: al cambiar a modo DFU cambia su identificador USB y quizá tengas que volver a habilitarlo.",
c053,"Wenn dein iPod gerade Musik abspielt, stoppe die Wiedergabe.","Si tu iPod está reproduciendo música en este momento, detén la reproducción.",
c054,Halte SELECT + MENU gleichzeitig gedrückt.,Mantén presionados SELECT + MENU al mismo tiempo.,
c055,"Halte beide Tasten etwa 12 Sekunden lang gedrückt, bis nach dem Schwarzwerden des Bildschirms.","Mantén ambos botones presionados unos 12 segundos, hasta después de que la pantalla se ponga negra.",
c056,Lass los. Aura Studio erkennt den DFU-Modus automatisch.,Suelta. Aura Studio detecta el modo DFU automáticamente.,
c057,"Wenn du vor etwa 12 Sekunden loslässt, startet der iPod normal neu und geht NICHT in den DFU-Modus. Der schwarze Bildschirm ist nicht das Zeichen zum Loslassen: halte danach weiter gedrückt.","Si sueltas antes de unos 12 segundos, el iPod reinicia normalmente y NO entra en modo DFU. La pantalla negra no es la señal para soltar: sigue presionando después de eso.",
c058,"Der Zustand des iPod konnte nicht gelesen werden. Sieh unten nach, ob Apples Treiber fehlt.",No se pudo leer el estado del iPod. Revisa abajo si falta el controlador de Apple.,
c059,Warten auf den DFU-Modus…,Esperando el modo DFU…,
c060,"Die Firmware ist installiert. Wirf den iPod unter „Allgemein“ aus, bevor du ihn abziehst.","El firmware está instalado. Expulsa el iPod desde «General» antes de desconectarlo.",
c061,Fertig,Listo,
c062,"Proben, ohne zu schreiben",Ensayar sin escribir,
c063,Probe beendet — der Datenträger wurde nicht angetastet,Ensayo terminado: el disco no se tocó,
c064,Die Probe ist gut gelaufen: der Datenträger wurde mit Administratorrechten erneut geprüft und der Formatierungsplan ist gültig. Es wurde noch nichts geschrieben.,El ensayo salió bien: el disco se volvió a verificar con permisos de administrador y el plan de formateo es válido. Todavía no se escribió nada.,
c065,Vorbereitung des Datenträgers wird geprobt…,Ensayando la preparación del disco…,
c066,Versetze den iPod jetzt in den DFU-Modus,Pon el iPod en modo DFU ahora,
c067,"Jetzt ist der Moment: der Datenträger ist bereit, und als Nächstes wird der Bootloader geschrieben. Der iPod muss dabei über USB angeschlossen bleiben.","Este es el momento: el disco está listo, y lo siguiente es escribir el bootloader. El iPod debe permanecer conectado por USB durante esto.",
c068,Es ging nicht weiter,No se pudo continuar,"Fragmento muy corto y ambiguo sin contexto; también podría ser ""No siguió"" o ""Se detuvo ahí"""
c069,"Auf diesem iPod ist {0} installiert und du bist dabei, {1} zu installieren. {0} bleibt vollständig erhalten, mit seinen Einstellungen, und du kannst jederzeit über Extras dorthin zurück.","Este iPod tiene instalado {0} y estás por instalar {1}. {0} se conserva por completo, con sus ajustes, y puedes volver a él en cualquier momento desde Extras.",
c070,Zu installierende Firmware,Firmware a instalar,
c071,Bootloader schreiben,Escribir bootloader,
c072,"Mir ist klar, dass dies Apples ursprünglichen Bootloader ersetzt und sich nur durch eine Wiederherstellung rückgängig machen lässt.","Entiendo que esto reemplaza el bootloader original de Apple y que solo se puede deshacer mediante una restauración.",
c073,Der Bootloader konnte nicht geschrieben werden.,No se pudo escribir el bootloader.,
c074,"Deine Bestätigung fehlt, bevor der Bootloader geschrieben wird. Aura Studio schreibt nichts, ohne dass du vorher bestätigst.","Falta tu confirmación antes de escribir el bootloader. Aura Studio no escribe nada sin que confirmes antes.",
