id,fr,retro_es,nota
c001,Bootloader envoyé. En attente de la confirmation et du redémarrage de l'iPod…,Bootloader enviado. Esperando la confirmación y el reinicio del iPod…,
c002,Continuer,Continuar,
c003,"Votre musique et vos réglages n'ont pas été touchés. À la prochaine mise en marche de l'iPod, vous verrez le nouvel écran de démarrage.","Su música y sus ajustes no se han tocado. La próxima vez que encienda el iPod, verá la nueva pantalla de inicio.",
c004,Terminé : le bootloader est à jour,Listo: el bootloader está actualizado,
c005,L'iPod doit rester branché en USB pendant l'opération. Son disque n'est pas touché : seul le bootloader est réécrit.,El iPod debe permanecer conectado por USB durante la operación. Su disco no se toca: solo se reescribe el bootloader.,
c006,Je comprends que cela réécrit le bootloader de l'iPod. Cela n'efface pas son disque et ne retire pas le bootloader d'Apple.,Entiendo que esto reescribe el bootloader del iPod. Esto no borra su disco ni retira el bootloader de Apple.,"""Je comprends"" sugiere una casilla de confirmación, igual que el alemán ""Mir ist klar"""
c007,Mise à jour du bootloader de l'iPod…,Actualizando el bootloader del iPod…,
c008,Mise à jour du bootloader de {0}…,Actualizando el bootloader de {0}…,
c009,Votre mot de passe administrateur n'est demandé à aucun moment.,Su contraseña de administrador no se pide en ningún momento.,
c010,Ce n'est pas obligatoire. Le nouveau micrologiciel fonctionne aussi bien avec le bootloader que vous avez déjà ; seul l'écran de démarrage change.,No es obligatorio. El nuevo firmware funciona igual de bien con el bootloader que ya tiene; solo cambia la pantalla de inicio.,"""micrologiciel"" traducido como ""firmware"" -- ver hallazgo de terminología en glosario-veredicto.csv: el sitio oficial de soporte de Microsoft en francés usa sobre todo ""microprogramme"", no ""micrologiciel"""
c011,"Rien n'est touché sur le disque. Votre musique, vos photos, vos listes de lecture et vos réglages restent exactement tels quels.","Nada se toca en el disco. Su música, sus fotos, sus listas de reproducción y sus ajustes quedan exactamente igual.",
c012,Mettre à jour le bootloader de cet iPod,Actualizar el bootloader de este iPod,
c013,Cette version apporte un bootloader plus récent que celui de votre iPod.,Esta versión trae un bootloader más reciente que el de su iPod.,
c014,"Nous ne savons pas quel bootloader se trouve sur votre iPod : un autre ordinateur l'a installé, ou une version antérieure de l'application.","No sabemos qué bootloader tiene su iPod: lo instaló otra computadora, o una versión anterior de la aplicación.",
c015,Mettre à jour le bootloader,Actualizar el bootloader,
c016,"Le bootloader est le programme qui s'exécute avant le micrologiciel, sur une puce distincte du disque. Cette version en apporte un nouveau, avec un autre écran de démarrage.","El bootloader es el programa que se ejecuta antes que el firmware, en un chip distinto del disco. Esta versión trae uno nuevo, con otra pantalla de inicio.",
c017,Le mode DFU est nécessaire parce que cette puce ne peut être écrite d'aucune autre façon.,El modo DFU es necesario porque ese chip no se puede escribir de ninguna otra manera.,
c018,{0} fichier ({1}) part à la Corbeille.,{0} archivo ({1}) va a la Papelera.,
c019,{0} fichiers ({1}) partent à la Corbeille.,{0} archivos ({1}) van a la Papelera.,
c020,{0} élément est retiré de votre bibliothèque ; son fichier d'origine n'est pas touché.,{0} elemento se retira de su biblioteca; su archivo original no se toca.,
c021,{0} éléments sont retirés de votre bibliothèque ; leurs fichiers d'origine ne sont pas touchés.,{0} elementos se retiran de su biblioteca; sus archivos originales no se tocan.,
c022,Supprimer {0} élément ?,¿Eliminar {0} elemento?,
c023,Supprimer {0} éléments ?,¿Eliminar {0} elementos?,
c024,Pilote pour le mode DFU,Controlador para el modo DFU,
c025,Le pilote d'Apple est installé. Aucun iPod en mode DFU n'est encore visible.,El controlador de Apple está instalado. Todavía no se ve ningún iPod en modo DFU.,
