id,ja
d001,iPod はまだ DFUモードです…
d002,Aura Studio と同じ場所に mks5lboot.exe が見つかりませんでした。
d003,mks5lboot.exe を起動できませんでした。
d004,iPod が DFUモードに入るのを待っています…
d005,{0} のチェックサムが一致しません（期待値 {1}、計算値 {2}）。ファイルが壊れているか、Release が公開したものではありません。
d006,{0} のチェックサムが Release のものと一致しません（期待値 {1}、計算値 {2}）。ファイルが壊れているか、Release が公開したものではありません。
d007,checksums.txt に不正な行があります。
d008,checksums.txt に安全でないパスがあります。
d009,{0} がありません。ブートローダーを書き込めません。
d010,{0} がありません。ファームウェアのファイルを検証する手がかりがありません。
d011,{0} がありません（{1} にもありません）。このツールがないと、ブートローダーを書き込めません。
d012,{0} に {1} の記載がないため、検証する手がかりがありません。
d013,{0} は {1} に固定されたハッシュと一致しません（期待値 {2}、計算値 {3}）。ファイルが変わっているため、信頼できません。
d014,rockbox.zip が不完全です（コーデックかプラグインが足りません）: {0}。
d015,rockbox.zip は正しいファイルではありません。
d016,rockbox.zip に安全でないパスがあります。
d017,管理者の許可をキャンセルしました。この許可がないと、この手順は続けられません。
d018,iPod は Apple の元のファームウェアで USB に現れました。ブートローダーは書き込まれていません。DFU の手順をもう一度お試しください（ディスクは準備済みなので、フォーマットし直す必要はありません）。
d019,ファイル {0} は整合性の確認に通りませんでした。
d020,ファイルのコピー中に iPod が外れました。ファームウェア一式は小さなファイルが数千個あり、USB では数分かかることがあります。ケーブルを確認し（USB ハブを使っている場合は外してください）、もう一度お試しください。すでにコピーした分は失われず、続きから再開します。
d021,接続された iPod が見つかりませんでした。
d022,iPod はファームウェアを受け取りましたが、適用したという確認は返ってきませんでした。まだ DFUモードのままです。Windows が iTunes か Appleデバイスを開いて iPod を復元モードで表示している場合は、「復元」に触れずに閉じてください（触れると Apple の元のファームウェアが再インストールされます）。そのうえで、もう一度お試しください。iPod はすでに DFUモードなので、次はすぐこの手順まで進むはずです。
d023,Windows には DFUモードの iPod 用のドライバーがないため、Aura Studio は通信できません。Microsoft Store から Appleデバイス（または iTunes）をインストールするか、Zadig でこのデバイスに WinUSB ドライバーを割り当ててください。権限の手順で、どちらの方法も説明しています。
d024,DFUモードの iPod を時間内に検出できませんでした。ボタン操作をもう一度お試しください。
d026,あなたの iPod かもしれないディスクが {0} 台見つかりました。安全のため、Aura Studio はどれかを勝手に選びません。ほかの外付けディスクを取り外して、もう一度お試しください。
d027,"デュアルブートには、iPod が Apple の元のファームウェアを ""winpod"" 形式で保持している必要があります。つまり、Apple のファームウェアのパーティションがそのまま残った MBR のパーティションテーブルと、FAT32 のパーティションです。これは、Windows の PC で iTunes が復元したときに作られる形式です。この iPod は Mac の形式（Rockbox が読めない Apple/HFS のパーティション）か、ディスクが読み取れない状態です。ここから準備すると、元のファームウェアも含めてディスク全体が消えます。iTunes か Appleデバイスで iPod を復元してからデュアルブートをやり直すか、Apple のファームウェアを残す必要がなければファームウェアだけをインストールしてください。"
d028,この Release のファームウェアは不完全です。rockbox.zip に {0} がありません。このままでは iPod で映像か音声が使えません。接続の問題ではありません。後でもう一度試すか、この Release に不備があることを知らせてください。
d029,ファームウェアのファイルに成果物 {0} がありません。scripts\FirmwareFetch.ps1 をもう一度実行してください。
d030,処理はコード {0} で終了しました: {1}
d031,{0} の最新バージョンをダウンロードできませんでした: {1} Aura Studio に含まれているバージョンを使います。
d032,Release {0} には {1} がないため、そこからはインストールできません。Aura Studio に含まれているバージョンを使います。
d033,iPod が FAT32 でフォーマットされていません。続ける前に変換してください。
d034,認証をキャンセルしました。この許可がないと、この手順は続けられません。
d035,ディスク番号 {0} は範囲外です。
d036,確認が完了しました。ディスクを再確認し、フォーマットの計画も問題ありません。何も書き込んでいません。
d037,ボリュームのラベルが空になりました。
d038,iPod を FAT32 でフォーマットしました。
d039,要求に想定されるディスクのサイズが入っていないため、再確認できません。
d040,サイズの許容範囲を負の値にはできません。
d041,管理者権限での処理が、結果を残さずに終わりました。何かを行ったかどうかを確かめられないため、続行しません。
d042,管理者の許可を要求できませんでした: {0}
d043,要求を読み取れませんでした。
d044,処理の結果を読み取れませんでした。
d045,自動で戻す仕組みを用意できなかったため、サービスは停止していません。
d046,Apple のサービスはすでに動いていました。
d047,Apple のサービスはすでに停止していました。
d048,Apple のサービスは停止できません。
d049,このコンピューターには、一時停止する Apple のサービスがありません。
d050,Apple のサービスを再び開始しました。
d051,書き込みのあいだ、Apple のサービスを停止しました。
d052,Apple のサービスから時間内に応答がありませんでした。
d053,不明な特権操作です。
