clase	donde	codigo
DATO	AuraStudio.Core\Library\LibraryFileLayout.cs:31	public const string UncategorizedFolder = "Sin categoría";
DATO	AuraStudio.Core\Library\LibraryGrouping.cs:339	foreach (string article in (string[])["the ", "los ", "las ", "el ", "la ", "una ", "un ", "an ", "a "])
DATO	AuraStudio.Core\Library\LibraryGrouping.cs:339	foreach (string article in (string[])["the ", "los ", "las ", "el ", "la ", "una ", "un ", "an ", "a "])
DATO	AuraStudio.Core\Library\LibraryGrouping.cs:339	foreach (string article in (string[])["the ", "los ", "las ", "el ", "la ", "una ", "un ", "an ", "a "])
DATO	AuraStudio.Core\Library\LibraryOptions.cs:164	public static readonly IReadOnlyList<string> DefaultPhotoCollections = ["Imágenes", "Fotos", "IA"];
DATO	AuraStudio.Core\Library\LibraryPersistence.cs:228	["photos"] = "Fotos",
DATO	AuraStudio.Core\Library\LibrarySyncFinalizer.cs:395	else if (item.Category == "Fotos") summary.PhotoPhotos++;
DATO	AuraStudio.Core\Library\LibrarySyncFinalizer.cs:476	photos.Add($"{name}: {(item.Category == "IA" ? "ai" : item.Category == "Fotos" ? "photo" : "image")}");
DATO	AuraStudio.Core\MediaCategory.cs:175	return hasCameraExif ? "Fotos" : "Imágenes";
DATO	AuraStudio.Core\Mks5lbootOutput.cs:44	=> output.Contains("no DFU devices found", StringComparison.OrdinalIgnoreCase)
DATO	AuraStudio.Core\StorageBreakdown.cs:25	public const string Photos = "Fotos";
INTERNO	AuraStudio.App\Converters\BoolToVisibilityConverter.cs:25	=> throw new NotSupportedException("Conversión de un solo sentido.");
INTERNO	AuraStudio.App\Converters\NotNullToBoolConverter.cs:16	=> throw new NotSupportedException("Conversión de un solo sentido.");
INTERNO	AuraStudio.App\Platform\AudioTranscoder.cs:137	throw new AudioTranscodeException("no se pidió ninguna conversión");
INTERNO	AuraStudio.App\Platform\AudioTranscoder.cs:173	if (bytes == 0) throw new AudioTranscodeException("la conversión no produjo audio");
INTERNO	AuraStudio.App\Platform\FfmpegRunner.cs:169	return Process.Start(info) ?? throw new FfmpegException("No se pudo iniciar ffmpeg.");
INTERNO	AuraStudio.App\Platform\ImageResizer.cs:114	if (source.Length == 0) throw new ImageResizeException("No se pudo leer la imagen de origen.");
INTERNO	AuraStudio.App\Platform\ImageResizer.cs:141	throw new ImageResizeException("La imagen de origen no tiene un tamaño válido.");
INTERNO	AuraStudio.App\Platform\ImageResizer.cs:203	"El JPEG generado no es baseline y el iPod no podría mostrarlo.");
INTERNO	AuraStudio.App\Platform\ImageResizer.cs:53	if (source.Length == 0) throw new ImageResizeException("No se pudo leer la imagen de origen.");
INTERNO	AuraStudio.App\Platform\ImageResizer.cs:80	throw new ImageResizeException("La imagen de origen no tiene un tamaño válido.");
INTERNO	AuraStudio.App\Platform\PlaylistArtGenerator.cs:263	"La imagen de la lista no salió como JPEG baseline y el iPod no podría mostrarla.");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:141	return (null, "el disco ya no tiene medio montado");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:174	"el disco no entra en el direccionamiento de 32 bits del MBR", log);
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:201	log.Add("ENSAYO: no se escribió nada.");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:342	throw new IOException("la tabla de particiones no quedó escrita (falta su firma)");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:349	throw new IOException("la tabla de particiones que quedó en el disco no es la que se escribió");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:353	throw new IOException("quedó más de una partición en la tabla");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:360	throw new IOException("el sector de arranque del FAT32 no quedó escrito");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:363	log.Add("relectura: tabla de particiones y sector de arranque FAT32 verificados en el disco");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:444	log.Add("el servicio de Apple no está instalado");
INTERNO	AuraStudio.App\Platform\PrivilegedHost.cs:532	if (process is null) return (-1, "no se pudo ejecutar schtasks.exe");
INTERNO	AuraStudio.App\Platform\PrivilegedRunner.cs:102	_log.Append(operation.Kind.ToString(), "cancelada por el usuario");
INTERNO	AuraStudio.App\Platform\PrivilegedRunner.cs:125	?? throw new InvalidOperationException("No se pudo determinar el ejecutable de Aura Studio.");
INTERNO	AuraStudio.App\Platform\PrivilegedRunner.cs:139	?? throw new InvalidOperationException("No se pudo iniciar el proceso con permisos de administrador.");
INTERNO	AuraStudio.App\Platform\PrivilegedRunner.cs:77	_log.Append(operation.Kind.ToString(), "cancelada por el usuario");
INTERNO	AuraStudio.App\Platform\VolumeLock.cs:132	log.Add($"volumen {path}: bloqueado{(dismounted ? " y desmontado" : " (no se pudo desmontar)")}");
INTERNO	AuraStudio.App\Platform\VolumeLock.cs:81	if (locks.Count == 0) log.Add("no había volúmenes montados que bloquear");
INTERNO	AuraStudio.App\Services\CrashReporter.cs:58	Record("tarea sin observar", e.Exception, null);
INTERNO	AuraStudio.App\Services\CrashReporter.cs:83	entry.AppendLine(exception.StackTrace ?? "(sin pila)");
INTERNO	AuraStudio.App\Services\CrashReporter.cs:86	entry.Append("Causado por: ").Append(inner.GetType().Name).Append(" — ").AppendLine(inner.Message);
INTERNO	AuraStudio.App\Services\DeviceSessionService.cs:94	"Reevaluate() fuera del hilo de interfaz: actualizar algo enlazado desde aquí cierra la app sin aviso.");
INTERNO	AuraStudio.App\Services\UiThreadWatchdog.cs:153	Log("[UiThreadWatchdog] AURA_WATCHDOG_STACKS=1: se capturarán pilas. " +
INTERNO	AuraStudio.App\Services\UiThreadWatchdog.cs:154	"Puede colgar la app en ARM64 -- solo para diagnóstico puntual.");
INTERNO	AuraStudio.App\Services\UiThreadWatchdog.cs:237	Log("    (no se alcanzó a capturar la pila -- el bloqueo terminó antes de que se pudiera suspender el hilo, la captura tardó demasiado, o la arquitectura no está soportada)");
INTERNO	AuraStudio.App\Services\UiThreadWatchdog.cs:323	if (addresses.Count == 0) Log("    (StackWalk64 no devolvió direcciones)");
INTERNO	AuraStudio.Core\Installer\Fat32Formatter.cs:116	throw new ArgumentOutOfRangeException(nameof(bytesPerSector), bytesPerSector, "tamaño de sector no soportado por FAT32");
INTERNO	AuraStudio.Core\Installer\Fat32Formatter.cs:118	throw new ArgumentOutOfRangeException(nameof(totalSectors), totalSectors, "la partición es demasiado chica");
INTERNO	AuraStudio.Core\Installer\Fat32Formatter.cs:169	if (dataSectors <= 0) throw new InvalidOperationException("la partición no alcanza ni para las tablas FAT");
INTERNO	AuraStudio.Core\Installer\FirmwareTreeWriter.cs:108	throw new InstallerException(new InstallerError.ProcessFailed(-1, "no se pudo verificar rockbox.ipod tras copiarlo"));
INTERNO	AuraStudio.Core\Installer\FirmwareTreeWriter.cs:278	throw new InstallerException(new InstallerError.ProcessFailed(-1, last?.Message ?? "no se pudo extraer el árbol"));
INTERNO	AuraStudio.Core\Installer\MasterBootRecord.cs:129	"una partición no puede empezar en el sector 0: ahí vive la propia tabla");
INTERNO	AuraStudio.Core\Installer\MasterBootRecord.cs:133	throw new ArgumentOutOfRangeException(nameof(sectorCount), sectorCount, "la partición no puede estar vacía");
INTERNO	AuraStudio.Core\Installer\MasterBootRecord.cs:138	"la partición se sale del direccionamiento de 32 bits del MBR");
INTERNO	AuraStudio.Core\Installer\MasterBootRecord.cs:183	throw new ArgumentOutOfRangeException(nameof(index), index, "La tabla MBR tiene 4 entradas.");
INTERNO	AuraStudio.Core\Library\LibraryFileCopier.cs:18	new(path, false, 0, "el archivo ya está dentro de la biblioteca");
INTERNO	AuraStudio.Core\Library\LibraryFileCopier.cs:64	if (sourcePath is not { Length: > 0 }) return LibraryCopyResult.Skipped("no hay archivo de origen");
INTERNO	AuraStudio.Core\Library\LibraryFileCopier.cs:65	if (relativePath is not { Length: > 0 }) return LibraryCopyResult.Skipped("no hay ruta de destino");
INTERNO	AuraStudio.Core\Library\LibraryFileCopier.cs:66	if (!files.FileExists(sourcePath)) return LibraryCopyResult.Skipped("el archivo no está");
INTERNO	AuraStudio.Core\Library\LibraryFileCopier.cs:89	if (sourcePath is not { Length: > 0 }) return LibraryCopyResult.Skipped("no hay archivo de origen");
INTERNO	AuraStudio.Core\Library\LibraryFileCopier.cs:90	if (destinationPath is not { Length: > 0 }) return LibraryCopyResult.Skipped("no hay ruta de destino");
INTERNO	AuraStudio.Core\Library\LibraryFileCopier.cs:91	if (!files.FileExists(sourcePath)) return LibraryCopyResult.Skipped("el archivo no está");
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:108	if (metadata is null) return TagWriteResult.Skipped("el elemento no tiene metadata");
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:122	"no se etiqueta un archivo temporal: las etiquetas van al archivo final, "
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:123	+ "después del renombrado");
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:127	if (!File.Exists(path)) return TagWriteResult.Skipped("el archivo no está");
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:203	Compare("álbum", metadata.Album, tag.Album);
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:204	Compare("artista del álbum", metadata.AlbumArtist, First(tag.AlbumArtists));
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:212	if (embedCover && !SameCover(tag, coverBytes!)) pending.Add("carátula");
INTERNO	AuraStudio.Core\Library\LocalTagWriter.cs:25	public static TagWriteResult UpToDate { get; } = Skipped("el archivo ya coincide con el catálogo");
INTERNO	AuraStudio.Core\Library\MediaRoots.cs:136	_ => throw new ArgumentOutOfRangeException(nameof(kind), kind, "no tiene carpeta en la biblioteca")
INTERNO	AuraStudio.Core\Media\AiffToWav.cs:119	if (format is not { } common) throw new AiffFormatException("el AIFF no trae su bloque COMM");
INTERNO	AuraStudio.Core\Media\AiffToWav.cs:120	if (soundDataOffset < 0) throw new AiffFormatException("el AIFF no trae audio (falta el bloque SSND)");
INTERNO	AuraStudio.Core\Media\AiffToWav.cs:123	throw new AiffFormatException("el AIFF está truncado: dice tener más audio del que hay");
INTERNO	AuraStudio.Core\Media\AiffToWav.cs:270	throw new AiffFormatException("el AIFF está truncado");
INTERNO	AuraStudio.Core\Media\AiffToWav.cs:79	if (ReadTag(aiff) != "FORM") throw new AiffFormatException("no es un AIFF: falta la marca FORM");
INTERNO	AuraStudio.Core\Networking\GitHubReleaseChecker.cs:155	new("la familia instalada no tiene repositorio al que preguntar (ST-046)");
INTERNO	AuraStudio.Core\ThemePackager.cs:20	: ThemePackagerException("La carpeta de origen no tiene icons/masks/") { }
PANTALLA	AuraStudio.App\Platform\AppUpdateInstaller.cs:106	"El instalador está abriéndose. Aura Studio se cerrará para poder actualizarse.");
