id,ja,retro_es,nota
c001,ブートローダーを送信しました。iPod の確認と再起動を待っています…,"Bootloader enviado. Esperando la confirmación y el reinicio del iPod…",
c002,続ける,Continuar,
c003,音楽と設定はそのままです。次に iPod の電源を入れると、新しい起動画面が表示されます。,"La música y los ajustes quedan igual. La próxima vez que encienda el iPod, se mostrará la nueva pantalla de inicio.","no hay marcador de posesión explícito (""su música""); el japonés omite el pronombre y se recupera en la traducción, como en de/fr/ru"
c004,完了：ブートローダーは最新です,Listo: el bootloader está actualizado,"：japonés (fullwidth) traducido como dos puntos latinos, correcto"
c005,その間、iPod は USB につないだままにしてください。ディスクには触れません。書き換えるのはブートローダーだけです。,"Mientras tanto, mantenga el iPod conectado por USB. No se toca el disco. Solo se reescribe el bootloader.",
c006,これが iPod のブートローダーを書き換えることを理解しています。ディスクは消去されず、Apple のブートローダーも削除されません。,"Entiendo que esto reescribe el bootloader del iPod. El disco no se borra, y el bootloader de Apple tampoco se elimina.",
c007,iPod のブートローダーを更新しています…,Actualizando el bootloader del iPod…,
c008,{0} のブートローダーを更新しています…,Actualizando el bootloader de {0}…,
c009,管理者パスワードを一度も要求しません。,No se pide la contraseña de administrador ni una sola vez.,
c010,必須ではありません。新しいファームウェアは今のブートローダーでも同じように動きます。変わるのは起動画面だけです。,No es obligatorio. El firmware nuevo funciona igual con el bootloader actual. Lo único que cambia es la pantalla de inicio.,
c011,ディスクには何も手を加えません。音楽、写真、プレイリスト、設定はそのまま残ります。,"No se toca nada en el disco. La música, las fotos, las listas de reproducción y los ajustes quedan tal cual.",
c012,この iPod のブートローダーを更新,Actualizar el bootloader de este iPod,
c013,このバージョンには、お使いの iPod より新しいブートローダーが含まれています。,Esta versión incluye un bootloader más nuevo que el de su iPod.,
c014,お使いの iPod のブートローダーが何かはわかりません。別のコンピューター、または以前のバージョンのアプリがインストールしたためです。,"No sabemos qué bootloader tiene su iPod. Lo instaló otra computadora, o una versión anterior de la aplicación.",
c015,ブートローダーを更新,Actualizar el bootloader,
c016,ブートローダーは、ファームウェアより前に動くプログラムで、ディスクとは別のチップにあります。このバージョンには新しいものが含まれ、起動画面が変わります。,"El bootloader es el programa que se ejecuta antes que el firmware, y está en un chip separado del disco. Esta versión incluye uno nuevo, y la pantalla de inicio cambia.",
c017,そのチップは他の方法では書き込めないため、DFU モードが必要です。,"Como ese chip no se puede escribir de ninguna otra manera, se necesita el modo DFU.",
c019,{0}件のファイル（{1}）がごみ箱に移動します。,{0} archivo(s) ({1}) se moverán a la Papelera.,"contador 件 (genérico, archivos/elementos); sin espacio junto a {0}, correcto; （） fullwidth traducido a paréntesis latinos"
c021,{0}件の項目がライブラリから外れます。元のファイルには触れません。,{0} elemento(s) se quitarán de la biblioteca. El archivo original no se toca.,contador 件 sin espacio junto a {0}
c023,{0}件の項目を削除しますか？,¿Eliminar {0} elemento(s)?,contador 件 sin espacio junto a {0}
c024,DFU モード用のドライバー,Controlador para el modo DFU,
c025,Apple のドライバーはインストール済みです。DFU モードの iPod はまだ見えません。,El controlador de Apple ya está instalado. Todavía no se ve ningún iPod en modo DFU.,
c026,Windows は iPod を認識していますが、対応するドライバーがありません。Microsoft Store から「Apple デバイス」（または Apple の iTunes）をインストールしてつなぎ直してください。DFU モードの iPod と通信するには、Aura Studio にそのドライバーが必要です。,"Windows reconoce el iPod, pero no tiene un controlador para él. Instale «Apple デバイス» (Dispositivos Apple) desde Microsoft Store (o iTunes de Apple) y vuelva a conectarlo. Aura Studio necesita ese controlador para comunicarse con el iPod en modo DFU.","「」 japonés traducido como comillas angulares «»; el nombre del paquete queda en japonés seguido de su traducción entre paréntesis, como en de/fr/ru"
c027,Apple のデバイスドライバーが見つかりません。続ける前に、Microsoft Store から「Apple デバイス」（または iTunes）をインストールしてください。これがないと、Windows は DFU モードの iPod と通信できません。,"No se encuentra el controlador de dispositivos de Apple. Antes de continuar, instale «Apple デバイス» (Dispositivos Apple) desde Microsoft Store (o iTunes). Sin esto, Windows no puede comunicarse con el iPod en modo DFU.",
c028,Windows は「{0}」を認識していて、ドライバーも動作しています。,"Windows reconoce «{0}», y el controlador también funciona.",「」 → «»
c029,ドライバーの状態を確認できませんでした。,No se pudo comprobar el estado del controlador.,
c030,すでに iPod への書き込みが進行中です。別の操作を始める前に、終わるまでお待ちください。,"Ya hay una escritura en curso en el iPod. Antes de iniciar otra operación, espere a que termine.",
c031,ファームウェアのファイルを検証できなかったため、何もインストールしません。,"Como no se pudieron verificar los archivos del firmware, no se instala nada.",
c032,書き込みました。iPod の再起動と再認識を待っています…,Escrito. Esperando el reinicio y el reconocimiento del iPod…,
