id,ja
c001,ブートローダーを送信しました。iPod の確認と再起動を待っています…
c002,続ける
c003,音楽と設定はそのままです。次に iPod の電源を入れると、新しい起動画面が表示されます。
c004,完了：ブートローダーは最新です
c005,その間、iPod は USB につないだままにしてください。ディスクには触れません。書き換えるのはブートローダーだけです。
c006,これが iPod のブートローダーを書き換えることを理解しています。ディスクは消去されず、Apple のブートローダーも削除されません。
c007,iPod のブートローダーを更新しています…
c008,{0} のブートローダーを更新しています…
c009,管理者パスワードを一度も要求しません。
c010,必須ではありません。新しいファームウェアは今のブートローダーでも同じように動きます。変わるのは起動画面だけです。
c011,ディスクには何も手を加えません。音楽、写真、プレイリスト、設定はそのまま残ります。
c012,この iPod のブートローダーを更新
c013,このバージョンには、お使いの iPod より新しいブートローダーが含まれています。
c014,お使いの iPod のブートローダーが何かはわかりません。別のコンピューター、または以前のバージョンのアプリがインストールしたためです。
c015,ブートローダーを更新
c016,ブートローダーは、ファームウェアより前に動くプログラムで、ディスクとは別のチップにあります。このバージョンには新しいものが含まれ、起動画面が変わります。
c017,そのチップは他の方法では書き込めないため、DFU モードが必要です。
c019,{0}件のファイル（{1}）がごみ箱に移動します。
c021,{0}件の項目がライブラリから外れます。元のファイルには触れません。
c023,{0}件の項目を削除しますか？
c024,DFU モード用のドライバー
c025,Apple のドライバーはインストール済みです。DFU モードの iPod はまだ見えません。
c026,Windows は iPod を認識していますが、対応するドライバーがありません。Microsoft Store から「Apple デバイス」（または Apple の iTunes）をインストールしてつなぎ直してください。DFU モードの iPod と通信するには、Aura Studio にそのドライバーが必要です。
c027,Apple のデバイスドライバーが見つかりません。続ける前に、Microsoft Store から「Apple デバイス」（または iTunes）をインストールしてください。これがないと、Windows は DFU モードの iPod と通信できません。
c028,Windows は「{0}」を認識していて、ドライバーも動作しています。
c029,ドライバーの状態を確認できませんでした。
c030,すでに iPod への書き込みが進行中です。別の操作を始める前に、終わるまでお待ちください。
c031,ファームウェアのファイルを検証できなかったため、何もインストールしません。
c032,書き込みました。iPod の再起動と再認識を待っています…
c033,開始
c034,操作をキャンセルしました。
c036,{0}件のファイルを iPod に書き込みました。
c037,ファームウェアを iPod にコピーできませんでした。
c038,ファームウェアをコピー
c039,ファームウェアを iPod にコピーしています…
c040,この内容をよく確認してください。次の手順で、ここに表示されているディスクの中身を消去します。
c041,これがお使いの iPod であることを確認してください
c042,接続時に Aura Studio が認識しました。ファームウェアをインストールしますか？ 選ぶまで何も起こりません。
c043,今はしない
c044,はい、インストールする
c045,iPod が DFU モードです
c046,DFU モードの iPod を検出しました。
c047,DFU モードの iPod を検出しました（状態 {0}）。
c048,書き込みと復元のガイド（ファームウェアのリポジトリ）
c049,https://github.com/Ricolinos/Aura-Firmware/blob/main/docs/guia-flasheo-restauracion.md
c050,インストールできるファームウェアがありません。成果物フォルダーが空です。
c051,DFU モードの iPod はまだ見えません。ボタン操作をやり直して、もう一度探してください。画面が暗くなった後も押し続けることを忘れないでください。
c052,Apple のドライバーはインストール済みですが、Windows は Apple のデバイスを認識していません。すでにボタン操作を行い、iPod の画面が暗いままなら、おそらく DFU モードで、USB 接続がここまで届いていません。仮想マシンでは、DFU モードの iPod が Windows に転送されているか確認してください。DFU に入ると USB の識別子が変わるため、もう一度許可が必要になることがあります。
c053,iPod で音楽を再生している場合は、再生を止めてください。
c054,SELECT と MENU を同時に押し続けます。
c055,画面が暗くなった後まで、両方のボタンを約12秒間押し続けます。
c056,離してください。Aura Studio が DFU モードを自動で検出します。
c057,約12秒より早く離すと、iPod は通常どおり再起動し、DFU モードには入りません。画面が暗くなるのは離す合図ではありません。その後も押し続けてください。
c058,iPod の状態を読み取れませんでした。Apple のドライバーが不足していないか、下で確認してください。
c059,DFU モードを待っています…
c060,ファームウェアをインストールしました。取り外す前に、一般から iPod を取り出してください。
c061,完了
c062,書き込まずに確認
c063,確認が完了しました — ディスクには触れていません
c064,確認は問題なく終わりました。ディスクを管理者権限で再検証し、フォーマットの計画も有効です。まだ何も書き込んでいません。
c065,ディスクの準備を確認しています…
c066,iPod を DFU モードにしてください
c067,いよいよです。ディスクの準備は整い、次はブートローダーの書き込みです。その間、iPod は USB につないだままにしてください。
c068,続行できませんでした
c069,この iPod には {0} が入っていて、これから {1} をインストールします。{0} は設定ごとそのまま保存され、いつでも「その他」から戻せます。
c070,インストールするファームウェア
c071,ブートローダーを書き込む
c072,これが Apple の元のブートローダーを置き換えること、復元しない限り元に戻せないことを理解しています。
c073,ブートローダーを書き込めませんでした。
c074,ブートローダーを書き込む前の確認がまだです。Aura Studio は、あなたが先に確認しない限り何も書き込みません。
c075,iPod にブートローダーを書き込んでいます…
c076,{0} の中身がすべて消去されることを理解しています。
c077,上の確認では何も変更していません。次の手順はディスクの中身をすべて消去し、元に戻せません。続ける前に、正しい iPod かどうか確認してください。
c078,この手順は実際に iPod を消去します
c079,iPod を消去する前の確認がまだです。Aura Studio は、どのディスクを対象にするかをあなたが先に確認しない限り、何もフォーマットしません。
c080,先にディスクの準備を確認する必要があります。何も書き込まずにすべてを点検します。
c081,{0} を消去してフォーマット
c082,iPod のディスクをフォーマットしています…
c083,iPod に Windows が読めるボリュームがありません。ファイルをコピーする前にディスクを準備してください。
c084,iPod が接続されていません。USB でつないで、Windows が認識するまでお待ちください。
c085,了解、続ける
c086,iPod のディスクを準備するため、Windows が独自の画面で管理者権限を求めます。Aura Studio はすべてここから行います。コンソールを開いたりコマンドを入力したりする必要は一切ありません。権限を求めるのは次の2つだけです。iPod のディスクをフォーマットすること、そしてブートローダーの書き込み中に、USB ポートを占有する可能性のある Apple のサービスを一時停止することです。使用のたびにアプリのログに記録されます。
c087,必要な権限
c088,ディスクを準備
c089,管理者権限の操作が行ったこと
c090,iPod が DFU モードを抜けました。ファームウェアをコピーできます。
c091,最初からやり直す
c092,Aura Studio はディスクに触れる前に安全のため停止しました：{0}。
c093,DFU モードの iPod を探す
c094,DFU モードの iPod を探しています…
c095,iPod はまだ DFU モードで、インストールは確認されていません。取り外さずに、もう一度探してください。
c096,iPod にファームウェアを順を追ってインストールします
c097,インストーラー
c098,「{0}」のディスク番号を特定できなかったため、何も変更しません。
c099,Aura Studio が iPod のディスクを準備し、ブートローダーを書き込み、ファームウェアをコピーします。各手順は実行前に説明し、確認するまで何にも触れません。
c100,iPod にファームウェアをインストールしましょう
c101,インストールすると iPod の中身がすべて消え、Apple の元のブートローダーが置き換わります。そこにしかない音楽があるなら、先に別の場所へコピーしてください。
c103,孤立ファイルを{0}件削除しました。
c105,孤立ファイルを{0}件削除しますか？
c107,孤立ファイル{0}件（{1}）。
c108,削除
c109,削除
c110,削除
c111,アルバムを削除
c112,アルバムを削除
c113,アーティストを削除
c114,アーティストを削除
c115,ライブラリから削除
c116,アートワークを削除
c117,エピソードを削除
c118,エピソードを削除
c119,写真をライブラリから削除
c120,映画を削除
c121,映画を削除
c122,シリーズを削除
c123,シリーズを削除
c124,アルバムから外す
c125,お気に入りから外す
c126,お気に入りから外す
c127,お気に入りから外す
c129,アーティストの写真を外す
c130,ポスターを外す
c131,確認したときからデバイスが変わりました。安全のため、何も書き込んでいません。
c132,デバイスを確認しました：{0}、{1}、{2}
c133,候補となる iPod が複数あります。安全のため、どれも選びませんでした。
c134,iPod が見えなくなりました。何も書き込んでいません。
c135,iPod のボリュームがマウントされていません。
c136,キャンセル
c138,{0}件のファイルをライブラリにコピーしました。
c140,{0}件をコピーできませんでした。
c142,{0}件はファイルが見つからないためスキップしました。カタログには残ります。
c144,{0}件のファイルをライブラリにコピーしています…
c146,{0}件の準備済みファイルが古い名前を使っています
c148,{0}曲のタグを書き込みました
c150,{0}件の項目は、ファイルが Aura のコピーかあなたのものかをまだ示していません
c151,音質
c152,高音質の MP3 に圧縮
c153,孤立ファイルを探す
c154,孤立ファイルを整理
c155,これらはライブラリのどの項目にも結び付いていません。削除しても、お持ちの曲・写真・ビデオには影響しません。
c156,ライブラリのどの項目にも属さなくなった準備済みファイルとアートワークです。このバージョンより前に削除した項目や、再処理によって生じたものです。あなたの元のファイルではありません。Aura が自分で作る技術的なコピーで、必要ならまた作り直せます。
c157,孤立ファイルはありません。整理するものはありません。
c158,孤立ファイル
c159,画質
c160,フォルダーを変えても何も移動しません
c161,ライブラリのフォルダー
