id,ru,retro_es,nota
d001,iPod всё ещё в режиме DFU…,El iPod todavía está en modo DFU…,
d002,mks5lboot.exe не найден рядом с Aura Studio.,No se encontró mks5lboot.exe junto a Aura Studio.,
d003,Не удалось запустить mks5lboot.exe.,No se pudo iniciar mks5lboot.exe.,
d004,Ожидание перехода iPod в режим DFU…,Esperando a que el iPod pase a modo DFU…,
d005,"Контрольная сумма {0} не совпадает (ожидалась {1}, получена {2}): файл повреждён или это не тот файл, который опубликован в Release.","La suma de comprobación de {0} no coincide (esperada {1}, obtenida {2}): el archivo está dañado o no es el que publicó el Release.",
d006,"Контрольная сумма {0} не совпадает с указанной в Release (ожидалась {1}, получена {2}): файл повреждён или это не тот файл, который опубликован в Release.","La suma de comprobación de {0} no coincide con la indicada en el Release (esperada {1}, obtenida {2}): el archivo está dañado o no es el que publicó el Release.",
d007,В checksums.txt есть неверная строка.,En checksums.txt hay una línea incorrecta.,
d008,В checksums.txt есть небезопасный путь.,En checksums.txt hay una ruta insegura.,
d009,Нет {0}: загрузчик записать нельзя.,No hay {0}: no se puede escribir el bootloader.,"""загрузчик"", ya fijado para ""bootloader"" en el glosario"
d010,Нет {0}: файлы прошивки не с чем сверить.,No hay {0}: no hay con qué comparar los archivos del firmware.,
d011,Нет {0} (и в {1} тоже): без этого инструмента загрузчик записать нельзя.,No hay {0} (tampoco en {1}): sin esta herramienta no se puede escribir el bootloader.,
d012,"{0} не описывает {1}, поэтому сверить его не с чем.","{0} no describe a {1}, así que no hay con qué compararlo.",
d013,"{0} не совпадает с хешем, закреплённым в {1} (ожидался {2}, получен {3}): файл изменился, доверять ему нельзя.","{0} no coincide con el hash fijado en {1} (esperado {2}, obtenido {3}): el archivo cambió, no se puede confiar en él.",
d014,rockbox.zip неполный (не хватает кодеков или плагинов): {0}.,rockbox.zip está incompleto (faltan códecs o plugins): {0}.,
d015,rockbox.zip не является допустимым файлом.,rockbox.zip no es un archivo válido.,
d016,В rockbox.zip есть небезопасный путь.,En rockbox.zip hay una ruta insegura.,
d017,Вы отменили запрос прав администратора. Без них этот шаг продолжить нельзя.,"Canceló la solicitud de permisos de administrador. Sin ellos, este paso no se puede continuar.",registro formal (""вы"")
d018,"iPod снова появился с исходной прошивкой Apple на USB: загрузчик не записался. Повторите шаг DFU (диск уже подготовлен, форматировать его заново не нужно).","El iPod volvió a aparecer en el USB con el firmware original de Apple: el bootloader no se escribió. Repita el paso de DFU (el disco ya está preparado, no hace falta formatearlo de nuevo).",
d019,Файл {0} не прошёл проверку целостности.,El archivo {0} no pasó la verificación de integridad.,
d020,"iPod отключился во время копирования файлов. Полная прошивка — это тысячи мелких файлов, и по USB это может занять несколько минут. Проверьте кабель (не используйте USB-концентратор, если он подключён) и повторите: скопированное не пропадает, копирование продолжится с того же места.","El iPod se desconectó durante la copia de los archivos. El firmware completo son miles de archivos pequeños, y por USB eso puede tardar varios minutos. Revise el cable (no use un concentrador USB si está conectado) y vuelva a intentarlo: lo copiado no se pierde, la copia continúa desde el mismo punto.",
d021,Подключённый iPod не обнаружен.,No se detectó ningún iPod conectado.,
d022,"iPod получил прошивку, но так и не подтвердил, что применил её, — он всё ещё в режиме DFU. Если Windows открыла iTunes или Устройства Apple и показывает iPod в режиме восстановления, закройте это окно, НЕ нажимая «Восстановить» (это переустановит исходную прошивку Apple). Потом повторите: iPod уже в режиме DFU, так что попытка быстро дойдёт до этого же шага.","El iPod recibió el firmware, pero nunca confirmó haberlo aplicado: sigue en modo DFU. Si Windows abrió iTunes o Dispositivos Apple y muestra el iPod en modo de recuperación, cierre esa ventana SIN presionar «Restaurar» (eso reinstalaría el firmware original de Apple). Después, vuelva a intentarlo: el iPod ya está en modo DFU, así que el intento llegará rápido a este mismo paso.",
d023,"У Windows нет драйвера для вашего iPod в режиме DFU, поэтому Aura Studio не может с ним общаться. Установите Устройства Apple (или iTunes) из Microsoft Store либо назначьте устройству драйвер WinUSB с помощью Zadig; шаг с разрешениями объясняет оба варианта.","Windows no tiene un controlador para su iPod en modo DFU, así que Aura Studio no puede comunicarse con él. Instale Dispositivos Apple (o iTunes) desde Microsoft Store, o asigne el controlador WinUSB al dispositivo con Zadig; el paso de permisos explica las dos opciones.",
d024,iPod в режиме DFU не обнаружен вовремя. Повторите комбинацию кнопок.,No se detectó a tiempo el iPod en modo DFU. Repita la combinación de botones.,
d025,"Найден {0} диск, который может быть вашим iPod. В целях безопасности Aura Studio не выбирает сам — отключите остальные внешние диски и повторите.",Se encontró {0} disco que podría ser su iPod. Por seguridad Aura Studio no elige ninguno — desconecte los demás discos externos y vuelva a intentarlo.,forma nominativa singular (1)
d026.few,"Найдено {0} диска, которые могут быть вашим iPod. В целях безопасности Aura Studio не выбирает сам — отключите остальные внешние диски и повторите.",Se encontraron {0} discos que podrían ser su iPod. Por seguridad Aura Studio no elige ninguno — desconecte los demás discos externos y vuelva a intentarlo.,"""диска"" genitivo singular, forma paucal 2-4"
d026.many,"Найдено {0} дисков, которые могут быть вашим iPod. В целях безопасности Aura Studio не выбирает сам — отключите остальные внешние диски и повторите.",Se encontraron {0} discos que podrían ser su iPod. Por seguridad Aura Studio no elige ninguno — desconecte los demás discos externos y vuelva a intentarlo.,"""дисков"" genitivo plural, 5+ -- concordancia correcta, mismo patrón que B7c"
d027,"Для двойной загрузки iPod должен сохранить исходную прошивку Apple в формате ""winpod"": таблицу разделов MBR с нетронутым разделом прошивки Apple плюс раздел FAT32 — формат, который создаёт iTunes при восстановлении на ПК с Windows. Этот iPod в формате Mac (разделы Apple/HFS, которые Rockbox не читает) или его диск не читается, и подготовка отсюда стёрла бы диск целиком, вместе с исходной прошивкой. Варианты: восстановите iPod через iTunes/Устройства Apple и повторите двойную загрузку, либо установите только прошивку, если сохранять прошивку Apple не нужно.","Para el arranque dual, el iPod debe conservar el firmware original de Apple en formato «winpod»: una tabla de particiones MBR con la partición del firmware de Apple intacta más una partición FAT32 — el formato que crea iTunes al restaurar en una PC con Windows. Este iPod está en formato Mac (particiones Apple/HFS, que Rockbox no puede leer) o su disco no se puede leer, y prepararlo desde aquí borraría el disco entero, junto con el firmware original. Opciones: restaure el iPod con iTunes/Dispositivos Apple y vuelva a intentar el arranque dual, o instale solo el firmware si no necesita conservar el de Apple.",
d028,"Прошивка в этом Release неполная: в rockbox.zip не хватает {0} — iPod остался бы без видео или без звука. Дело не в вашем подключении; повторите позже или сообщите, что этот Release выпущен с ошибкой.","El firmware de este Release está incompleto: en rockbox.zip falta {0} — el iPod se quedaría sin video o sin audio. No es un problema de su conexión; vuelva a intentarlo más tarde o informe que este Release salió con un error.",
d029,Среди файлов прошивки нет артефакта {0}. Запустите scripts\FirmwareFetch.ps1 ещё раз.,Entre los archivos del firmware no está el artefacto {0}. Vuelva a ejecutar scripts\FirmwareFetch.ps1.,
d030,Операция завершилась с кодом {0}: {1},La operación terminó con el código {0}: {1},
d031,"Не удалось скачать последнюю версию {0}: {1} Будет использована версия, входящая в Aura Studio.",No se pudo descargar la versión más reciente de {0}: {1} Se usará la versión que incluye Aura Studio.,
d032,"В Release {0} нет {1}, поэтому установить из него нельзя. Будет использована версия, входящая в Aura Studio.","En el Release {0} no está {1}, así que no se puede instalar desde ahí. Se usará la versión que incluye Aura Studio.",
d033,"iPod не отформатирован в FAT32. Преобразуйте его, прежде чем продолжать.",El iPod no está formateado en FAT32. Conviértalo antes de continuar.,
d034,Вы отменили авторизацию. Без этого разрешения шаг продолжить нельзя.,"Canceló la autorización. Sin ese permiso, el paso no se puede continuar.",
d035,Номер диска {0} вне допустимого диапазона.,El número de disco {0} está fuera del rango permitido.,
d036,"Проверка завершена: диск проверен ещё раз, план форматирования верный. Ничего не записано.","Comprobación terminada: el disco se volvió a verificar, y el plan de formateo es correcto. No se escribió nada.","""Проверка"" (comprobación/verificación) -- consistente con el cambio de ""репетиция"" a esta familia ya hecho en B7c"
d037,Метка тома осталась пустой.,La etiqueta del volumen quedó vacía.,
d038,iPod отформатирован в FAT32.,El iPod quedó formateado en FAT32.,
d039,"В запросе нет ожидаемого размера диска, поэтому перепроверить его нельзя.","En la solicitud no está el tamaño de disco esperado, así que no se puede volver a verificar.",
d040,Допуск по размеру не может быть отрицательным.,La tolerancia de tamaño no puede ser negativa.,
d041,"Операция с правами администратора завершилась, не оставив результата. Узнать, успела ли она что-то сделать, нельзя, поэтому продолжения не будет.","La operación con permisos de administrador terminó sin dejar un resultado. No se puede saber si alcanzó a hacer algo, así que no habrá continuación.",
d042,Не удалось запросить права администратора: {0},No se pudo solicitar los permisos de administrador: {0},
d043,Не удалось прочитать запрос.,No se pudo leer la solicitud.,
d044,Не удалось прочитать результат операции.,No se pudo leer el resultado de la operación.,
d045,"Не удалось подготовить автоматическое возобновление, поэтому ни одна служба не остановлена.","No se pudo preparar la reanudación automática, así que no se detuvo ningún servicio.","ver nota comparativa en criticas2-de-retro.csv (d045): ru habla de ""reanudación"" (возобновление), de habla de ""reinicio"" (Neustart) -- matiz entre idiomas, no marcado como error"
d046,Служба Apple уже была запущена.,El servicio de Apple ya estaba en ejecución.,
d047,Служба Apple уже была остановлена.,El servicio de Apple ya estaba detenido.,
d048,Службу Apple нельзя остановить.,El servicio de Apple no se puede detener.,
d049,"На этом компьютере нет службы Apple, которую нужно приостанавливать.",En esta computadora no hay ningún servicio de Apple que haya que pausar.,
d050,Служба Apple снова запущена.,El servicio de Apple se volvió a iniciar.,
d051,Служба Apple остановлена на время записи.,El servicio de Apple se detuvo durante la escritura.,
d052,Служба Apple не ответила вовремя.,El servicio de Apple no respondió a tiempo.,
d053,Неизвестная операция с повышенными правами.,Operación desconocida con privilegios elevados.,
