clase	archivo	linea	texto
DATO	Models/MediaCategory.swift	132	Imágenes
INTERNO	Services/MainThreadWatchdog.swift	66	[MainThreadWatchdog] activo -- avisa de bloqueos del hilo principal > \(Int(thresholdSeconds * 1000)) ms
INTERNO	Services/MainThreadWatchdog.swift	158	[MainThreadWatchdog] bloqueo de ~\(durationMs) ms en el hilo principal
INTERNO	Services/MainThreadWatchdog.swift	160	    (no se alcanzó a capturar la pila -- el bloqueo terminó antes de que la señal llegara)
INTERNO	Views/TableHeaderMenu.swift	146	init(coder:) no se usa
PANTALLA	Models/InstallerStep.swift	91	Pausar servicios de macOS
PANTALLA	Models/InstallerStep.swift	92	Aura Studio necesita pausar temporalmente dos servicios de macOS que a veces interfieren con la conexión del iPod (AMPDevicesAgent y AMPDeviceDiscoveryAgent). Se reactivan automáticamente al terminar,
PANTALLA	Models/InstallerStep.swift	93	Si cancelas, Aura Studio va a seguir intentando detectar el iPod igual -- en la mayoría de las Mac esto no hace falta, pero si la detección falla repetidamente, puede ser la causa.
PANTALLA	Models/InstallerStep.swift	100	Preparar el disco para Finder
PANTALLA	Models/InstallerStep.swift	101	Para que Finder pueda restaurar el firmware original de Apple, el disco del iPod (\(diskIdentifier)) se va a formatear dos veces: primero un formato puente (FAT con esquema MBR) y despues Mac OS Plus 
PANTALLA	Models/InstallerStep.swift	102	Si cancelas, el iPod queda sin el bootloader de Aura pero con el disco sin preparar -- Finder podria no reconocerlo para restaurar. Puedes reintentar cuando quieras.
PANTALLA	Models/InstallerStep.swift	109	Preparar el disco del iPod
PANTALLA	Models/InstallerStep.swift	110	"Vamos a formatear la partición de datos de tu iPod (identificada como \""\(volumeName)\"", disco \(diskIdentifier)) para que pueda arrancar Aura. Esto borra TODO el contenido actual del iPod -- solo del"
PANTALLA	Models/InstallerStep.swift	111	Si cancelas, la instalación se detiene acá. El iPod queda como estaba, sin ningún cambio -- puedes reintentar cuando quieras.
PANTALLA	Models/InstallerStep.swift	175	No se detecto ningun iPod conectado.
PANTALLA	Models/InstallerStep.swift	177	El iPod no esta formateado en FAT32. Conviértelo antes de continuar.
PANTALLA	Models/InstallerStep.swift	179	No se detecto el iPod en modo DFU a tiempo. Vuelve a intentar la combinacion de botones.
PANTALLA	Models/InstallerStep.swift	181	El archivo \(file) no supero la verificacion de integridad.
PANTALLA	Models/InstallerStep.swift	183	No se pudo descargar la versión más reciente de \(family): \(reason). Se usará la versión que trae Aura Studio.
PANTALLA	Models/InstallerStep.swift	185	Al Release \(tag) le falta \(asset), así que no se puede instalar desde él. Se usará la versión que trae Aura Studio.
PANTALLA	Models/InstallerStep.swift	187	El firmware de este Release está incompleto: a rockbox.zip le faltan \(missing.joined(separator: 
PANTALLA	Models/InstallerStep.swift	187	)) -- el iPod quedaría sin video o sin audio. No es un problema de tu conexión; vuelve a intentar más tarde o avisa que este Release salió mal.
PANTALLA	Models/InstallerStep.swift	193	La operación terminó con código \(exitCode): \(output)
PANTALLA	Models/InstallerStep.swift	195	Falta el artefacto \(name) dentro de la app. Reinstala Aura Studio.
PANTALLA	Models/InstallerStep.swift	197	Se encontraron \(count) discos que podrian ser tu iPod. Por seguridad, Aura Studio no elige uno solo -- desconecta los demas discos externos y vuelve a intentar.
PANTALLA	Models/InstallerStep.swift	199	Cancelaste la autorización de administrador. Este paso no puede continuar sin ese permiso.
PANTALLA	Models/InstallerStep.swift	203	"macOS bloqueó el acceso directo al disco del iPod. Concede \""Acceso total al disco\"" a Aura Studio en Ajustes del Sistema (Privacidad y seguridad), cierra la app por completo, vuelve a abrirla y reint"
PANTALLA	Models/InstallerStep.swift	205	"Para dual boot, el iPod debe conservar el firmware original de Apple en formato \""winpod\"": tabla de particiones MBR con la partición de firmware de Apple intacta más una partición FAT32 -- el formato"
PANTALLA	Models/InstallerStep.swift	207	Tu iPod se desconectó durante la copia de archivos. Copiar el firmware completo son miles de archivos chicos y puede tardar varios minutos por USB -- revisa el cable (evita hubs USB si usas uno) y vue
PANTALLA	Models/InstallerStep.swift	209	El iPod volvió a aparecer con el firmware original de Apple atendiendo el USB: el bootloader de Aura no quedó grabado. Vuelve a intentar el paso de DFU (el disco ya está preparado, no hace falta forma
PANTALLA	Models/InstallerStep.swift	211	"El iPod recibió el envío del firmware, pero nunca confirmó haberlo aplicado -- sigue en modo DFU. Si se abrió Finder mostrando \""Modo DFU del iPod\"", ciérralo SIN tocar el botón Restaurar (eso reinsta"
PANTALLA	Models/LibraryGrouping.swift	65	Sin álbum
PANTALLA	Models/LibraryGrouping.swift	214	los 
PANTALLA	Models/LibraryGrouping.swift	214	las 
PANTALLA	Models/LibraryGrouping.swift	214	una 
PANTALLA	Models/LibraryGrouping.swift	424	Sin álbum
PANTALLA	Models/LibraryPersistence.swift	30	Música
PANTALLA	Models/LibraryPersistence.swift	31	Imágenes
PANTALLA	Models/LibraryPersistence.swift	212	Imágenes
PANTALLA	Models/LibraryPersistence.swift	217	Películas
PANTALLA	Models/LibraryStatusSummary.swift	229	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionadas
PANTALLA	Models/LibraryStatusSummary.swift	231	álbum
PANTALLA	Models/LibraryStatusSummary.swift	231	álbumes
PANTALLA	Models/LibraryStatusSummary.swift	239	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionados
PANTALLA	Models/LibraryStatusSummary.swift	248	\(formatted(selected.count)) de \(formatted(totalCount)) seleccionadas
PANTALLA	Models/LibraryStatusSummary.swift	259	canción
